comment,sentiment
When do you guys restock?,neutral
عالی😍🔥,positive
Dont buy in the app they are selling clothes without stock and after don’t return your money.,negative
👏👏🔥🔥,positive
❤️❤️❤️❤️,positive
Hi could you please restock Cowboy buckle belt (size ) in Turkey? 🤍,neutral
✨🌟✨,positive
❤️❤️❤️,positive
❤️❤️❤️❤️,positive
never buy on the pull and bear site they are thieves you return the item and you are not refunded,negative
Proud to love is such a cute slogan!! I would totally wear a shirt with that on it🤍,positive
When will this collection be available In Romania?,neutral
ناااایس😍,positive
Dont buy in the app they are selling clothes without stock and after don’t return your money.,negative
Wow😍,positive
Love is love 💗,positive
👏,positive
Stunning 🔥🙌,positive
Love is Love❤️,positive
اصحي للخواجات,neutral
🤝,positive
Estas roupas tenhem na loja 😍😍,positive
 check DM,neutral
What this has to do with fashion and your brand?,negative
i love when brands get creative and give artists platforms man,positive
NEW DROP!!!🔥🔥🔥,positive
I love this😍👏,positive
Love 🙌,positive
Hola pull&bear,neutral
"What if you know, this is oil lamp candy, a candy that has been sticking for years in Turkey",neutral
Dont buy in the app they are selling clothes without stock and after don’t return your money.🤬🤬,negative
👏👏👏,positive
My teeth is hurting just by looking at it…….,negative
How to apply to be your model?,neutral
🫠🤤🔥,positive
Voglio lavorare qui dentro 😍😍😍,positive
Best ,positive
Mandarnos carsmelitos a las tiendas ,neutral
Regáleme algo mejor,negative
🔥,positive
❤️,positive
🔥🔥,positive
🙄🤔🤔🤔 what this has to do with fashion and your brand… very silly,negative
❤️❤️,positive
❤️❤️❤️,positive
😍🍒🍒,positive
❤❤️❤️,positive
Me lo como todos,neutral
🍬💗🍬,positive
"Ok, you got me at 🍒🍒🍒",positive
❤️❤️,positive
🍒🍒🍒🍒🍒🍒🍒🍒🍒,positive
😮😮😮parece imposible 👏👏👏👏🍒🔥🔥🔥,positive
Bizim ziyaret şekeri olmus,neutral
Gosh! I want some!!!! Sell it on line and in your shops!!!!,positive
I need these candies in my Pull and Bear in Poland🍒🍒🍒❤️,positive
I want it🍒😍,positive
❤️💌❤️🍓,positive
Phone number please,neutral
"Imposible comprar por la página,solucionenlo por favor",negative
"Hello, would you mind stopping canceling all my orders? Its been twice, I ordered from you twice, its canceled and I dont even know why",negative
never buy on the pull and bear site they are thieves you return the item and you are not refunded,negative
😍😍,positive
👏,positive
😍😍😍😍,positive
Unbelievable! I ordered on June th and still haven’t received my order.. the customer service is not responding. What a shame..,negative
🔥🔥🔥,positive
🔥🔥🔥,positive
Are these jeans on pic  available in Stockholm store?,neutral
Do you guys do restocks?,neutral
💙🤍,positive
Cocooa 🔥🔥🔥🔥🔥❤️,positive
Slaying,positive
Gorgeous as always ☺️,positive
😍😍,positive
yezzz!! 🩷🩷🧡🧡🌺🌺,positive
these vibesss😍,positive
Muy guapa esa chica,neutral
) love to wear 😍😍😍,positive
😍😍😍,positive
BE CARFUL PULL&BEAR IS SELLING CLOTHES WITHOUT STOCK AND DONT RETURN YOUR MONEY,negative
😍,positive
Stunning 🔥🙌,positive
😍,positive
😮😮😮,neutral
Schuhgröße  😂😂😂,neutral
❤️❤️,positive
Big foot,neutral
🔥🔥❤️❤️,positive
"The worst purchasing experience through the application. The amount was deducted and I did not find the order in my list. To recover my money, they asked for an account statement. Why should I show you my account statement to recover my money from you?",negative
Salut Jennifer,neutral
😍😍😍,positive
🔥,neutral
SC GIVE BACK MY MONEY. More of six months waiting because your  use your app to $teal the people,negative
Alm la patita,neutral
We are manufacturers and suppliers of Fashion Leather Jackets🔥🔥🔥,positive
"Está se duerme de pie.... Madre mía la edición de la foto, le ha puesto dos traineras en los pies.",negative
Omggggg .iannolo,neutral
Huge  Is shooting in the elevator amateurish?,neutral
Baggy fitss❤️❤️ especially on plus size guys too pls,positive
❤️❤️,positive
😍😍😍😍,positive
"The worst purchasing experience through the application. The amount was deducted and I did not find the order in my list. To recover my money, they asked for an account statement. Why should I show you my account statement to recover my money from you?",negative
❤️,positive
Adoro,positive
BE CARFUL PULL&BEAR IS SELLING CLOTHES WITHOUT STOCK AND DONT RETURN YOUR MONEY,negative
🔥,positive
🤍👏🏼🖤,positive
Cute❤️😘,positive
🔥👍,positive
Great Outfit 🔥🙌,positive
La peor y más pobre colección en años! Super decepcionante... Pocas piezas y súper aburridos 💔,negative
Me encantan todos 😍😍😍,positive
Wow,neutral
🫶🏼,neutral
Niceee ❤,positive
The knit 🤩,positive
🔥🔥🔥🔥🔥,positive
🔥,positive
Negro en verano ? 🫤,neutral
Baddest shoes ever ... I contacted your store here in Jordan and before  months and they want me to go to physical store!!!!! I live in a another city!!! Bad quality and bad service... I dont recommend this shoes brand,negative
Its the boots for me ❤️,positive
Que coleção incrível! Apaixonada ❤👏👏😍😍,positive
❤️❤️,positive
Hermosaaa,positive
Peccato che sia vestita da monta americana e ha tutte le attrezzature all’inglese! 🤦🏽‍♀️,negative
🔥🤒,neutral
QUIERO TODO🙌❤️👏,positive
❤️,positive
We need the cow print boots in Mexico! 🇲🇽🤍🖤 not available yet 😪,neutral
girls name,neutral
I need to return something  from USA and there is no contact!!!,negative
Stunning 🔥🙌,positive
) these I love to wear 😍😍,positive
🤍🖤 I love it,positive
Stunning,positive
Hi there - do you have a customer service phone number? I ordered a gift card for Father’s Day that still hasn’t arrived,neutral
🔥🔥🔥,positive
How can I speak to someone about being refunded the wrong amount?,negative
❤️❤️,positive
🔥🔥🔥,positive
🔥🔥❤️❤️,positive
When does summer sale begin? ☺️,neutral
 🔥,positive
Love it!,positive
Love,positive
How can I speak to someone about being refunded the wrong amount?,neutral
Love everything 🌈,positive
Code?,neutral
😍😍,positive
Rei of Light Menswear in Poetic Motion at Comme Des Garçons Hommes Plus,neutral
$CAMMRS!!! Dont buy in the app they’re selling clothes without stock and after don’t give you back your money.,negative
How would you combine these 👕?,neutral
Superb support from a clothing Manufacturer company,positive
😍😍,positive
Stunning 🔥🙌,positive
Pull&bear on 🔝 🔥,positive
😍🔥,positive
❤️❤️,positive
Fire Jersey,positive
Design by meee! I’m proud 🫶,positive
❤️,positive
Super cool campaign 🔥,positive
"missing item in my order. order came dirty, how do i contact??",negative
"PÉSSIMO! Não comprem nada nessa loja ! Comprei uma sandália, usei poucas vezes e ela pouco depois de  mês se partiu inteira… mandei email, mandei fotos, mandei o comprovante de transação e eles disseram que sem o recibo não poderiam fazer nada.  Entao guardem os recibos por que pela qualidade dos produtos vocês precisaram trocar tudo em pouco mais de um mês.👎🏼",negative
When do the summer discounts start?,neutral
😍😍,positive
How can I order from website to Azerbaijan?,neutral
😍,positive
❤️🔥🔥🔥,positive
"Im tired of being a millionaire, I want to do good deeds",neutral
DONT BUY IN THE APP THEY’RE SELLING CLOTHES WITHOUT STOCK AND DONT RETURN YOUR MONEY!!,negative
🙌,positive
Sublime,positive
@ edwardchung comment😄,neutral
"Don’t order from the website, they are not issuing refunds and customer contact is a shame.",negative
The cherry kini🫣💌🍒🤍,positive
❤️❤️❤️,positive
Don’t buy in the app they are selling clothes without stock and after don’t return your money.,negative
😍😍,positive
DON’T BUY ANYTHING FROM THIS BRAND ! BAD QUALITY AND NO RESPONSIBILITY!,negative
 ese delfín,neutral
When are the knee high leather boots in sand restocking??,neutral
The tops omg 😍😍😍,positive
Qué pasada la nueva colección ✨🐚,positive
I need help with an order but haven’t gotten a response…… can you please respond to me?,negative
Adoro toda la colección 😍,positive
Be careful and don’t buy in the app!! They are selling clothes without stock and don’t return your money. $cammrs,negative
Qual a referência dos jeans? Obrigada,neutral
Can’t wait to try them 🤩,positive
DON’T BUY ANYTHING FROM THIS BRAND ! BAD QUALITY AND NO RESPONSIBILITY!,negative
❤️ perfection🔥,positive
"Nos encantan los looks de verano de PB , Muy fans 🙂🌈❤",positive
😍😍😍,positive
🤝,neutral
Vaya cuadro 😅,negative
Looks del verano pantalones largos 💀💀💀. Cómo se nota que no piensan en el sur de España,negative
Hecha un cuadro hija👍🏽,negative
😑,negative
Parece pordiosera,negative
I need help with an order but haven’t gotten a response…… can you please respond to me?,negative
Beautiful ☺️,positive
Pull and bear  de Madrid (H ocio) .No hay ni un solo dependiente para cobrar,neutral
❤️❤️,positive
❤️❤️,positive
🔥🔥❤️❤️❤️,positive
❤️❤️❤️,positive
What a beauty 💖,positive
😍😍,positive
Pull and bear de  Madrid [H Ocio]. No hay ni un solo dependiente para cobrar.La única opción es el pago en cajas de autocobro donde sólo podemos hacerlo nosotros e inclusive quitar el dispositivo antirrobo metálico. Nunca más compraré en esta tienda. Te cobran y encima tienes que hacer tú el trabajo mientras que despiden a dependientes.Estafa absoluta y vergüenza.,negative
Magnificent 🔥🙌,positive
Hello sir/madam If I order two bags online tomorrow What day will I receive due to holidays?  I am living in basiskele of koceali province,neutral
❤️‍🔥Beautiful ❤️‍🔥,positive
Beautiful ✨☀️,positive
Thats the activity dude 🤭,neutral
🔥,neutral
MANU PORQUE SALES EN EL ANUNCIO BRO 😭😭😭,negative
Still waiting my money back,negative
Be careful with the app.,neutral
😍😍,positive
So cute 😍,positive
These pants,neutral
❤️❤️ stunning ❤️,positive
🔥🔥🔥my stunning girl,positive
❤️❤️,positive
🍧,neutral
🔥👏,positive
🔥🔥,positive
😍😍,positive
😍😍,positive
Feel like a Karol G collab,positive
is it on the online shop already ??😍😍,positive
Karol g vibes ✨,positive
Estará en México la colección?,neutral
"This is so cute, add an adult version",positive
🫶🏻🫶🏻🫶🏻,neutral
I love it!!,positive
Nos encanta la moda Pull & Bear 🙂🌈❤,positive
Karol G 🔥,positive
KAROL G?????? 😮,neutral
I need all but i live in Colombia,neutral
Boycott,negative
 When will the scarf be back in stock for Ireland?,neutral
YAAASSSSS🥲🥲😍😍,positive
"Para los que tienen la duda, pull&bear colaboró con el mismo artista que diseñó la portada del album de Karol G 💖💖💖",positive
🔥🔥🔥🔥,positive
La Propia fuente De  de ,neutral
😍,positive
❤️,positive
DONT BUY IN THE APP!! THEY SELL CLOTHES WITHOUT STOCK AND AFTER DONT GIVE YOU BACK YOUR MONEY. I HAVE  MONTHS WAITING MY MONEY OR VOUCHERS. $CAMMERS,negative
🙂🌈❤,positive
👏🏻👏🏻👏🏻  so proud of you 🙌,positive
  aquí no hay pull and bear ☹️,negative
Nos encantan los conjuntos de Pull&Bear 🙂🌈❤,positive
ly,neutral
چقدر شیکه,neutral
Mamma mia patrizio 😍,positive
Nice one 🔥🙌,positive
❤️,positive
💚💚💚,positive
$cammers,negative
🔥🔥🔥l,positive
Six months waiting the return of my money. Don’t buy in the app they are selling clothes without stock!! And after don’t give you back your money.,negative
IMPAZZISCO,neutral
 💙❤️,positive
 Un jean 👖 homme acheté le / qui se déchire au niveau des fesses après le cours d’EPS de mon fils / La responsable du Pull&bear So ouest de Levallois qui dit qu’elle ne peut rien faire / votre SAV joignable seulement de  à …,negative
 débloque manon vouge,neutral
Ate.,neutral
🔥🔥,positive
Dont buy in the app always the clothes are not in stock,negative
чозабретто,neutral
$cammers,negative
El verdadero cae con estilo 😻,positive
la bolea de zidane,neutral
🍨,neutral
Amazing shoot,positive
❤️,positive
كام سعر,neutral
🍧🤸🏽‍♂️,positive
bRO stepped on a banana peel🤯 -  aura,negative
🔥,positive
🍦🍦🍦🍦🍦,positive
Six months waiting the return of my money. Don’t buy in the app they are selling clothes without stock!! And after don’t give you back your money.,negative
 🔥❤️,positive
 débloque manon,neutral
😍😍,positive
"Hello, i need some sizing advice. I have sent a dm. Thanks",neutral
🔥,positive
So cute 🤍,positive
Superb,positive
Be careful dont buy in the app they are selling clothes they don’t have and after dont return your money,negative
Sent a DM,neutral
"why most of the posts starring women, it should be a space for men also..",neutral
Anyone thinking of ordering online dont. my top came with a hole and dirt smeared on it. Im proper angry leaving reviews everywhere,negative
 débloque ,neutral
Parisians don’t take the subway? 😂,neutral
"I’m Parisian, of course I live in an overpriced little box 😂 also, we do take the subway (depending where you live & work), and the subway is packed every morning let me tell you 😂",neutral
❤️❤️❤️,positive
"I’m parisian, of course I take my LV bag with me when I go out to carry a baguette in it 😂 (based on true story)",neutral
پرژن ❌ برژیون✅😂,neutral
<,neutral
😍😍😍,positive
"In Paris, of course, I am unfriendly and always have a condemning look on my face!",negative
Never shopping at your Seville store. Worst customer service. Very rude. No smile - ask for lost & found - no help from two associates. 👎👎👎👎,negative
Never shopping at monterrey mexico stores worst customer service worst quality in snikers! And also delete my posts in Facebook publicity,negative
❤️🔥🔥❤️,positive
😍,positive
Coperni vibes 🔥 (i need it btw),positive
$cammers,negative
❤️❤️❤️,positive
Magic hands  🔥🙌💪🏽,positive
😍😍😍😍,positive
Nice nice 😍❤️,positive
Bolo maravilhoso,positive
Lindo,positive
Maravilha,positive
Gostei muito,positive
❤️🙌🙌❤️❤️🙌🔥🔥🔥🔥🔥,positive
wow🔥😍,positive
❤️,positive
Niiiiice😍,positive
👏👏👏,positive
Always lovely campaigns ❤️,positive
🤍🤍🤍,positive
💕💕,positive
More iron maiden t-shirts! (and maybe Judas priest?),neutral
❤️❤️❤️bota um charme,positive
🔥,positive
❤️,positive
❤️🙌,positive
❤️❤️❤️❤️,positive
❤️🌸,positive
Need all these looks😍,positive
😍,positive
😍😍😍,positive
it’s mee,neutral
💘💘💘💘👏🏼👏🏼👏🏼👏🏼,positive
$CAMMRS!!!!! Dont buy in the APP they sell clothes what they don’t have and after don’t give you back your money. I have  months waiting the vouchers.,negative
😍😍😍😍😍😍,positive
"Volvemos al año , los cinturones que hace un año se consideraban chotis ahora vuelven a estar de moda, todo va dando la vuelta, por eso yo no tiro nada jajaj",neutral
"Volvemos al año , los cinturones que hace un año se consideraban chonis y horteros vuelven a estar de moda, todo va dando la vuelta, por eso yo no tiro nada jajaj",neutral
😍,positive
The first dress is so cute 😍,positive
Don’t buy in the app they sell clothes what they haven and after don’t give you back your money.  After six months and im still waiting,negative
Perfect fits for summer 😍,positive
Eeeeeeeeeepaaa en malpica,neutral
❤️🔥🔥,positive
Ordered a swimsuit and they delivered half of it overnight and the bottoms they said  weeks  (,negative
The skirt ❤️,positive
"Que lindos que creando nueva colección ya se anticipen ropa de rebajas, por que esa colección está muy malita",negative
Arriba Malpiquiñaaaaa,neutral
😍❤️,positive
Stunning 🔥🙌,positive
You,neutral
❤️❤️❤️,positive
Beauty,neutral
"Place Malpica de Bergantiños (A Coruña-Spain). Nice town with fresh fish market from Cofradía de Pescadores de Malpica. Uno de los mejores pueblos para observar la pesca tradicional y artesanal, con la lonja de pescados de la Cofradía de Pescadores de Malpica!",neutral
Watching this was the most satisfying thing ever 😍😍,positive
amoooo,positive
Asmr 🐆🖍️,neutral
چقدر واقعی شد 😍😍😍,positive
Pensé que era un bolso al principio,neutral
Increíble lo realista que parece!!,positive
🔥❤️🙌,positive
The worst sounds ever 😭😭😭😭😭😭😭😭,negative
😍😍😍😍😍😍😍😍😍muy heavy,positive
Heavy 🔥🙌,neutral
❤️❤️❤️❤️ preciosa!!,positive
wow.,neutral
🔥🔥,positive
$ix months waiting my money. $cammers,negative
"We made it before you guys, check our page",negative
💖💖💖💖,positive
😍😮👏👏,positive
 podría yo trabajando en Pull dedicarme a esto en vez de ser dependienta!? Si lo digo AJAJJSSJ,neutral
 el diseño en papel no se ha perdido! Y menos la profesión de modelista,neutral
Magnificent 🙌,positive
I have sent like  different emails trying to pants and the email goes back as not sent because it is a fake email…. DO NOT buy from this company,negative
Wow😍,positive
❤️🙌🔥🔥,positive
🔝❤️,positive
🔥🔥🔥🔥,positive
"Han pasado  meses desde mi compra y un mes desde que me dijisteis que se iba a tramitar la devolución de mi dinero por vuestro error. Aún estoy esperando, solo me sabéis dar largas y decir que lo tenéis en trámite cuando aquí seguimos y si me callo vosotros ganáis. Bastante lamentable todo esto…",negative
❤️❤️,positive
My order from last  weeks hasn’t arrived and I’m logged out from my account.,negative
"Hola!!! Hice una compra, y tuve un problema con su distribuidor,no quiere hacerse cargo,  donde me dirijo!???",negative
$c they sell clothes they haven’t and after dont give you back your money. BE CAREFUL. DONT BUY IN THE APP,negative
😍,positive
My order from last  weeks hasn’t arrived and I’m logged out from my account.,negative
do you restock accessories? because as soon as i liked an item it was sold-out,neutral
Xenofobos!!!,negative
Pul biber,neutral
👏,positive
YO ❤️ f🥰👏🏽lo q,positive
No recomiendo esta tienda. ❌,negative
$c they sell clothes they haven’t and after dont give you back your money. BE CAREFUL. DONT BUY IN THE APP,negative
👏👏🙌❤️,positive
 que bien te queda la ropa😍😍😍,positive
😍,positive
Olá esse artigo ainda há disponível?,neutral
"Hi, is the white dress in the last picture available in Indonesia especially on Bali?",neutral
🔥🔥🔥,positive
❤️🙌🙌,positive
Ordered the first dress - can’t wait 😍🔥,positive
Me encanta😍,positive
🩵🩵🩵nice,neutral
😍😍,positive
$ix months waiting my money back! $cammers. DONT BUT IN THE APP,negative
Xenofobos !!,negative
Model Ig🙏🏼 ,neutral
 there’s still been no reply or no sign of refund. Check dm. If refund isn’t issued I’ll be escalating this matter legally,negative
❤️,positive
❤️,positive
$ix months waiting my money back! $cammers. DONT BUT IN THE APP,negative
🌠🌠🌠🌠🌠,positive
Nice vibes 🔥,positive
AAA Per un tale Marco molto simpatico che era al concerto di Liberato e che ho incontrato allo stand Pull&Bear dopo il temporale ti cerca una Rosa molto simpatica che spesso si commuove ai concerti,positive
"Please sound list, plis plis 🔥",neutral
🔥,positive
❤️❤️❤️❤️,positive
🔥❤️,positive
❤️🙌🙌🔥,positive
❤️,positive
<,neutral
❤️,positive
🔥,positive
🔥🔥🔥🔥,positive
  maestros✨✨,positive
Are you guys going to restock the hello kitty shoulder bag ?,neutral
❤️🔥👏,positive
🙌,positive
❤️,positive
Dope 🔥🙌,positive
🔥🔥🔥,positive
So sweet! ♥️,positive
Check dm please!,neutral
😍😍,positive
🫶🏻🫶🏻🫶🏻🫶🏻🫶🏻,positive
AAA Per un tale Marco molto simpatico che era al concerto di Liberato e che ho incontrato allo stand Pull&Bear dopo il temporale ti cerca una Rosa molto simpatica che spesso si commuove ai concerti,neutral
❤️🙌🔥🔥,positive
😍😍,positive
Pul biber,neutral
😍😍,positive
😍,positive
😍😍😍,positive
Stunning 😍,positive
💚💚💚,positive
💋,positive
😍😍,positive
Vibes 🔥🙌,positive
