post_id,post_date,post_caption,clean_caption,post_likes,comments,clean_comments
3399678127020761465,2024-06-27 13:00:36,En havalı kombinlerin adresi: DeFacto! 😎 Her tarza uygun modellere göz atmak için DeFacto App ve mağazalara bekleniyorsun! ✨,En havalı kombinlerin adresi DeFacto! 😎 Her tarza uygun modellere göz atmak için DeFacto App ve mağazalara bekleniyorsun! ✨,258,['🇮🇷🇮🇷🇮🇷🇮🇷😍😍😍😍🌹🌹🌹🌹'],['🇮🇷🇮🇷🇮🇷🇮🇷😍😍😍😍🌹🌹🌹🌹']
3399617678617694170,2024-06-27 11:00:30,Yazın çoşkusunu kombinlerine yansıtmanın zamanı geldi! 😍 Enerjik parçalarla gardrobunu süslemek için DeFacto App ve mağazaları ziyaret et! ❤️,Yazın çoşkusunu kombinlerine yansıtmanın zamanı geldi! 😍 Enerjik parçalarla gardrobunu süslemek için DeFacto App ve mağazaları ziyaret et! ❤️,172,['🇮🇷🇮🇷🇮🇷🇮🇷🌹🌹🌹🌹😍😍😍😍'],['🇮🇷🇮🇷🇮🇷🇮🇷🌹🌹🌹🌹😍😍😍😍']
3399557174547424046,2024-06-27 09:00:17,"Yaz mevsiminin renkleri, cıvıl cıvıl plaj kombinlerine çok yakışacak! 🤩 Hemen DeFacto App ve mağazalara uğra, plaj koleksiyonunu keşfet! 💖","Yaz mevsiminin renkleri, cıvıl cıvıl plaj kombinlerine çok yakışacak! 🤩 Hemen DeFacto App ve mağazalara uğra, plaj koleksiyonunu keşfet! 💖",332,"['Hiç beğenmedim😡', '❤️']","['Hiç beğenmedim😡', '❤️']"
3398953375616693290,2024-06-26 13:00:39,Sezonun en trend elbise modelleri onlarca desen ve renk seçeneğiyle modern şıklığın adresi DeFacto’da! 🌸,Sezonun en trend elbise modelleri onlarca desen ve renk seçeneğiyle modern şıklığın adresi DeFacto’da! 🌸,268,['🇮🇷🇮🇷🇮🇷🇮🇷🌹🌹🌹🌹😍😍😍😍'],['🇮🇷🇮🇷🇮🇷🇮🇷🌹🌹🌹🌹😍😍😍😍']
3398832405874360437,2024-06-26 09:00:18,Düğün sezonu açıldı! 👗 En şık elbise modelleri DeFacto App ve mağazalarda! ❤️,Düğün sezonu açıldı! 👗 En şık elbise modelleri DeFacto App ve mağazalarda! ❤️,275,"['Ben nişanda giyydiimm😍', 'Yess. 🎉🙌']","['Ben nişanda giyydiimm😍', 'Yess. 🎉🙌']"
3398228381547478558,2024-06-25 13:00:13,Cıvıl cıvıl kombinlerin adresi: DeFacto! 😍 Yazın enerjisini tarzına yansıtmak için DeFacto app ve mağazalara uğra! 🧡,Cıvıl cıvıl kombinlerin adresi DeFacto! 😍 Yazın enerjisini tarzına yansıtmak için DeFacto app ve mağazalara uğra! 🧡,408,"['🇮🇷🇮🇷🇮🇷🇮🇷🌹🌹🌹🌹😍😍😍😍', ""DeFacto online da 05348120916 numaramdan '07.05.2024' tarihinde 43970448 sipariş numaralı 4.431 TL tutardaki alışverişten 4 adet iademden 1 adet relax fit yaka kaşe kabanımın iadesi bankamla görüştüğüm halde yatmamıştır banka ile ortada bir problem olmadığı halde beni 1 buçuk aydır oyalıyorlar aynı zamanda 43999053 09.05.2024 tarihinde de Polo Yaka Çizgili Fitilli Kaşkorse Kısa Kollu Midi Elbisede bankada görüşülüp paranın iadesi yatmadıgına varıldı. ben eğer ürünlerimi kontrel etmeseydim böyle paramın üstüne bır cızık atıcaktım haberım oldugu halde bile param yatmıyor yatırmıyorlar bu problemı artık farklı kurumlara tasıyıp hakkımı arayacagım.1 bucuk aydır ıletısım danısmanları ve kendılerı ıle sureklı vakıt ayırmaktan aynı seylerı anlatıp cozume ulasamayıp benı yıprattı bu konudada hakkımı arayacagım oyalayıp insanların parasının üstüne yatamazsınız burayada herkes görsün ona göre alısverıs yapsın dıyede sıkayetımı yazıyorum ."", 'Üç kız']","['🇮🇷🇮🇷🇮🇷🇮🇷🌹🌹🌹🌹😍😍😍😍', 'DeFacto online da  numaramdan .. tarihinde  sipariş numaralı . TL tutardaki alışverişten  adet iademden  adet relax fit yaka kaşe kabanımın iadesi bankamla görüştüğüm halde yatmamıştır banka ile ortada bir problem olmadığı halde beni  buçuk aydır oyalıyorlar aynı zamanda  .. tarihinde de Polo Yaka Çizgili Fitilli Kaşkorse Kısa Kollu Midi Elbisede bankada görüşülüp paranın iadesi yatmadıgına varıldı. ben eğer ürünlerimi kontrel etmeseydim böyle paramın üstüne bır cızık atıcaktım haberım oldugu halde bile param yatmıyor yatırmıyorlar bu problemı artık farklı kurumlara tasıyıp hakkımı arayacagım. bucuk aydır ıletısım danısmanları ve kendılerı ıle sureklı vakıt ayırmaktan aynı seylerı anlatıp cozume ulasamayıp benı yıprattı bu konudada hakkımı arayacagım oyalayıp insanların parasının üstüne yatamazsınız burayada herkes görsün ona göre alısverıs yapsın dıyede sıkayetımı yazıyorum .', 'Üç kız']"
3398168012643422667,2024-06-25 11:00:16,Bu yaz tüm gözler üzerinde olacak! 😎 Enerjini yükseltecek aksesuarları keşfetmek için DeFacto App ve mağazaları ziyaret et! ✨,Bu yaz tüm gözler üzerinde olacak! 😎 Enerjini yükseltecek aksesuarları keşfetmek için DeFacto App ve mağazaları ziyaret et! ✨,282,"[""DeFacto online da 05348120916 numaramdan '07.05.2024' tarihinde 43970448 sipariş numaralı 4.431 TL tutardaki alışverişten 4 adet iademden 1 adet relax fit yaka kaşe kabanımın iadesi bankamla görüştüğüm halde yatmamıştır banka ile ortada bir problem olmadığı halde beni 1 buçuk aydır oyalıyorlar aynı zamanda 43999053 09.05.2024 tarihinde de Polo Yaka Çizgili Fitilli Kaşkorse Kısa Kollu Midi Elbisede bankada görüşülüp paranın iadesi yatmadıgına varıldı. ben eğer ürünlerimi kontrel etmeseydim böyle paramın üstüne bır cızık atıcaktım haberım oldugu halde bile param yatmıyor yatırmıyorlar bu problemı artık farklı kurumlara tasıyıp hakkımı arayacagım.1 bucuk aydır ıletısım danısmanları ve kendılerı ıle sureklı vakıt ayırmaktan aynı seylerı anlatıp cozume ulasamayıp benı yıprattı bu konudada hakkımı arayacagım oyalayıp insanların parasının üstüne yatamazsınız burayada herkes görsün ona göre alısverıs yapsın dıyede sıkayetımı yazıyorum .""]",['DeFacto online da  numaramdan .. tarihinde  sipariş numaralı . TL tutardaki alışverişten  adet iademden  adet relax fit yaka kaşe kabanımın iadesi bankamla görüştüğüm halde yatmamıştır banka ile ortada bir problem olmadığı halde beni  buçuk aydır oyalıyorlar aynı zamanda  .. tarihinde de Polo Yaka Çizgili Fitilli Kaşkorse Kısa Kollu Midi Elbisede bankada görüşülüp paranın iadesi yatmadıgına varıldı. ben eğer ürünlerimi kontrel etmeseydim böyle paramın üstüne bır cızık atıcaktım haberım oldugu halde bile param yatmıyor yatırmıyorlar bu problemı artık farklı kurumlara tasıyıp hakkımı arayacagım. bucuk aydır ıletısım danısmanları ve kendılerı ıle sureklı vakıt ayırmaktan aynı seylerı anlatıp cozume ulasamayıp benı yıprattı bu konudada hakkımı arayacagım oyalayıp insanların parasının üstüne yatamazsınız burayada herkes görsün ona göre alısverıs yapsın dıyede sıkayetımı yazıyorum .']
3398107713391502376,2024-06-25 09:00:28,Elbise sezonunun en iddialı modellerini keşfetmeye ne dersin? 👗 Rengarenk modeller ve eşsiz desenler DeFacto’da seni bekliyor! 🌸,Elbise sezonunun en iddialı modellerini keşfetmeye ne dersin? 👗 Rengarenk modeller ve eşsiz desenler DeFacto’da seni bekliyor! 🌸,416,"['🔥❤️', '❤️❤️', '🇮🇷🇮🇷🇮🇷🇮🇷🌹🌹🌹🌹😍😍😍😍']","['🔥❤️', '❤️❤️', '🇮🇷🇮🇷🇮🇷🇮🇷🌹🌹🌹🌹😍😍😍😍']"
3397564153293360684,2024-06-24 15:00:30,Deniz kenarında da şıklığı elden bırakmayanların favori tercihi: DeFacto plaj koleksiyonu! 🏖️ En şık pareolar ve çok daha fazlası DeFacto App ve mağazalarda! 🌸,Deniz kenarında da şıklığı elden bırakmayanların favori tercihi DeFacto plaj koleksiyonu! 🏖️ En şık pareolar ve çok daha fazlası DeFacto App ve mağazalarda! 🌸,443,"['Çok şık❤️', '🔥🔥']","['Çok şık❤️', '🔥🔥']"
3397504049292604640,2024-06-24 13:01:31,"Güneşli günlerin vazgeçilmez parçaları DeFacto plaj koleksiyonunda seni bekliyor! 🤩 Hemen DeFacto App ve mağazalara uğra, favorilerini seç! ❤️","Güneşli günlerin vazgeçilmez parçaları DeFacto plaj koleksiyonunda seni bekliyor! 🤩 Hemen DeFacto App ve mağazalara uğra, favorilerini seç! ❤️",722,"['🔥🔥🔥', 'Bikini 👙 almam lazıııım. 😍']","['🔥🔥🔥', 'Bikini 👙 almam lazıııım. 😍']"
3397464456181587295,2024-06-24 11:42:25,Rengarenk parçalarla cıvıl cıvıl yaz kombinlerine hazır mısın? 🌞 Plaj koleksiyonu şimdi DeFacto App ve mağazalarda! 💙,Rengarenk parçalarla cıvıl cıvıl yaz kombinlerine hazır mısın? 🌞 Plaj koleksiyonu şimdi DeFacto App ve mağazalarda! 💙,646,"['Açık saçık böyle dışarda gezmeyin biraz ahlaklı olun ya', 'Ne kadar', 'Merhaba bu elbiseniz internet sayfanizda bulamiyorum magazalarda varvmi', 'Afra Saraçoğlu İle Yeni Reklamlar Gelecekmi', 'Afranin reklamının devamı yokmu kısacık 30 saniyelik reklammi 😏', '🔥🔥❤️❤️', '👏🔥👏', '🙌❤️']","['Açık saçık böyle dışarda gezmeyin biraz ahlaklı olun ya', 'Ne kadar', 'Merhaba bu elbiseniz internet sayfanizda bulamiyorum magazalarda varvmi', 'Afra Saraçoğlu İle Yeni Reklamlar Gelecekmi', 'Afranin reklamının devamı yokmu kısacık  saniyelik reklammi 😏', '🔥🔥❤️❤️', '👏🔥👏', '🙌❤️']"
3396778984273770251,2024-06-23 13:00:31,Sezonun trendleri bu yaz da DeFacto’da! ✨ Keşfetmek için DeFacto App ve mağazaları ziyaret et! 💚,Sezonun trendleri bu yaz da DeFacto’da! ✨ Keşfetmek için DeFacto App ve mağazaları ziyaret et! 💚,260,"['🤍🤍', '🔥🔥🔥❤️❤️❤️']","['🤍🤍', '🔥🔥🔥❤️❤️❤️']"
3396718417072543853,2024-06-23 11:00:11,DeFacto ile bu yaz gözler üzerinde! Daha fazla modeli incelemek içini DeFacto App ve mağazalara! 🤍,DeFacto ile bu yaz gözler üzerinde! Daha fazla modeli incelemek içini DeFacto App ve mağazalara! 🤍,362,['Bədəl'],['Bədəl']
3396658075858836113,2024-06-23 09:00:18,Yazın rengi = beyaz! 😍 Kalbine taht kuracak beyaz takımlar DeFacto App ve mağazalarda! 🌸,Yazın rengi = beyaz! 😍 Kalbine taht kuracak beyaz takımlar DeFacto App ve mağazalarda! 🌸,323,"['🙌', 'Waowww 😍']","['🙌', 'Waowww 😍']"
3395993657294976517,2024-06-22 11:00:14,Bu yaz DeFacto ile tarzın konuşsun! 🤩 Gömlek ve şort modelleri onlarca renk seçeneğiyle DeFacto App ve mağazalarda seni bekliyor! 💛,Bu yaz DeFacto ile tarzın konuşsun! 🤩 Gömlek ve şort modelleri onlarca renk seçeneğiyle DeFacto App ve mağazalarda seni bekliyor! 💛,250,"['Bu ürünü web sitenizde bulamadım ne diye aratmam lazım.', '🔥🔥🔥', '😍😍😍😍', '🔥🔥🔥']","['Bu ürünü web sitenizde bulamadım ne diye aratmam lazım.', '🔥🔥🔥', '😍😍😍😍', '🔥🔥🔥']"
3395933262169056403,2024-06-22 09:00:13,"Erkek modasının kalbi DeFacto’da atıyor! 😎 En havalı kombinler için DeFacto App ve mağazalara uğra, favorini seç! 🧡","Erkek modasının kalbi DeFacto’da atıyor! 😎 En havalı kombinler için DeFacto App ve mağazalara uğra, favorini seç! 🧡",224,"['Mertramazandemir olsun erkeklerde etkilesimmide çok yüksek lütfen kirmayin bizi lütfen @defacto', 'Merti isitiyoruz ya lütfen', 'Mertramazandemir nerde', '🙌🙌🙌🙌🙌']","['Mertramazandemir olsun erkeklerde etkilesimmide çok yüksek lütfen kirmayin bizi lütfen ', 'Merti isitiyoruz ya lütfen', 'Mertramazandemir nerde', '🙌🙌🙌🙌🙌']"
3395329532300142445,2024-06-21 13:00:43,Plajda da şıklığından ödün vermeyenler için en havalı bikini modelleri ve çok daha fazlası şimdi DeFacto App ve mağazalarda! 🤎,Plajda da şıklığından ödün vermeyenler için en havalı bikini modelleri ve çok daha fazlası şimdi DeFacto App ve mağazalarda! 🤎,624,"['😍😍😍', '👏👏🔥', '🔥🔥', 'Afranin reklamının devamı kamera arkası falan yokmu hiç 😌', 'Bikini giymese de olurmuş model. Zaten yok', 'Aynı ürünler olmasına rağmen online de farklı mağaza da farklı fiyat olması çok kötü @defacto']","['😍😍😍', '👏👏🔥', '🔥🔥', 'Afranin reklamının devamı kamera arkası falan yokmu hiç 😌', 'Bikini giymese de olurmuş model. Zaten yok', 'Aynı ürünler olmasına rağmen online de farklı mağaza da farklı fiyat olması çok kötü ']"
3395269033282755835,2024-06-21 11:00:31,Sezonun en havalı grubu değil de ne? 😎 Nude tonlarda tişörtler ve kahverengi bikinilerin uyumu DeFacto App ve mağazalarda! 🤎,Sezonun en havalı grubu değil de ne? 😎 Nude tonlarda tişörtler ve kahverengi bikinilerin uyumu DeFacto App ve mağazalarda! 🤎,356,['🔥🔥❤️❤️'],['🔥🔥❤️❤️']
3395208462001892323,2024-06-21 09:00:10,Kombinlerinde toprak tonlarından vazgeçemeyenler el kaldırsın! 🙌🏻 Bikini modellerini incelemek için seni DeFacto’ya bekliyoruz! 🤎,Kombinlerinde toprak tonlarından vazgeçemeyenler el kaldırsın! 🙌🏻 Bikini modellerini incelemek için seni DeFacto’ya bekliyoruz! 🤎,367,"['Tüh size iyi ce çıplaklık kampına dönüştüz', 'Güzelmiş ❤️', '@afrasaracoglu olsaydı keşke bikinili ah defacto']","['Tüh size iyi ce çıplaklık kampına dönüştüz', 'Güzelmiş ❤️', ' olsaydı keşke bikinili ah defacto']"
3394664913214543785,2024-06-20 15:00:15,Denizin derinliklerindeki gizemli dünyaya göz atmaya var mısın? 👀 AYJE x DeFacto koleksiyonu bu yaz plaj giyimin gözdesi olacak! 👙 Şimdi DeFacto App ve mağazalarda! 🌞 #AYJExDeFacto @ayjeofficial ❤️,Denizin derinliklerindeki gizemli dünyaya göz atmaya var mısın? 👀 AYJE x DeFacto koleksiyonu bu yaz plaj giyimin gözdesi olacak! 👙 Şimdi DeFacto App ve mağazalarda! 🌞   ❤️,466,['😍😍😍'],['😍😍😍']
3394604551283719029,2024-06-20 13:00:18,Modanın ritmini tutan tasarımlarıyla AYJE x DeFacto koleksiyonu göz alıcı plaj şıklığı sunuyor! 🤩 Bu yaz moda tutkunlarının favorisi olacak modelleri keşfetmek için DeFacto App ve mağazalara uğra! ✨ #AYJExDeFacto @ayjeofficial ❤️,Modanın ritmini tutan tasarımlarıyla AYJE x DeFacto koleksiyonu göz alıcı plaj şıklığı sunuyor! 🤩 Bu yaz moda tutkunlarının favorisi olacak modelleri keşfetmek için DeFacto App ve mağazalara uğra! ✨   ❤️,588,"['🔥🔥❤️❤️', '🔥']","['🔥🔥❤️❤️', '🔥']"
3393880221840339874,2024-06-19 13:01:18,AYJE x DeFacto koleksiyonu plaj modasının favorisi olmaya geliyor! Çook yakında! 🧡 #AYJExDeFacto @ayjeofficial ❤️,AYJE x DeFacto koleksiyonu plaj modasının favorisi olmaya geliyor! Çook yakında! 🧡   ❤️,319,"['🇮🇷🇮🇷🇮🇷🇮🇷🌹🌹🌹🌹😍😍😍😍', 'Antalya Side Nova avm de kasadakiler fatura kesmeyi bilmiyor. Öğretmemişsiniz. Bir an önce seminer verin. Vazgeçtik çıktık. 3 kasa sırası bekledik. Dıt dıt onu biliyorlar. İyi çalışmalar.']","['🇮🇷🇮🇷🇮🇷🇮🇷🌹🌹🌹🌹😍😍😍😍', 'Antalya Side Nova avm de kasadakiler fatura kesmeyi bilmiyor. Öğretmemişsiniz. Bir an önce seminer verin. Vazgeçtik çıktık.  kasa sırası bekledik. Dıt dıt onu biliyorlar. İyi çalışmalar.']"
3393759099771783020,2024-06-19 09:00:37,Plaj modasına damga vuracak yepyeni koleksiyonu keşfetmeye hazır mısın? Çook yakında! 💛 #AYJExDeFacto @ayjeofficial ❤️,Plaj modasına damga vuracak yepyeni koleksiyonu keşfetmeye hazır mısın? Çook yakında! 💛   ❤️,433,"['✨🤍', '🇮🇷🇮🇷🇮🇷🇮🇷🌹🌹🌹🌹😍😍😍😍']","['✨🤍', '🇮🇷🇮🇷🇮🇷🇮🇷🌹🌹🌹🌹😍😍😍😍']"
3393155066358751272,2024-06-18 13:00:27,"Deniz şortundan tişörte, gömlekten bikiniye aradığın her şey DeFacto’da! 😍 Yaz stilini konuşturmak için DeFacto App ve mağazalara uğra! 💙","Deniz şortundan tişörte, gömlekten bikiniye aradığın her şey DeFacto’da! 😍 Yaz stilini konuşturmak için DeFacto App ve mağazalara uğra! 💙",241,"['❤️❤️', 'Afranın reklamının devamı yokmu ?', 'Almayın 😁 2 hafta sonra çöp']","['❤️❤️', 'Afranın reklamının devamı yokmu ?', 'Almayın 😁  hafta sonra çöp']"
3392430290923033879,2024-06-17 13:00:26,Pembenin enerjisinden vazgeçemeyenler için işte o eşsiz bikini takımı! 👙 Modelleri incelemek için DeFacto App ve mağazaları ziyaret et! 💖,Pembenin enerjisinden vazgeçemeyenler için işte o eşsiz bikini takımı! 👙 Modelleri incelemek için DeFacto App ve mağazaları ziyaret et! 💖,321,['❤️'],['❤️']
3392369903447548174,2024-06-17 11:00:48,"Yaz resmen geldiğine göre şimdi DeFacto’ya uğramanın tam sırası! 🤩 En trend mayolar, bikiniler, elbiseler ve çok daha fazlası DeFacto App ve mağazalarda! 🧡","Yaz resmen geldiğine göre şimdi DeFacto’ya uğramanın tam sırası! 🤩 En trend mayolar, bikiniler, elbiseler ve çok daha fazlası DeFacto App ve mağazalarda! 🧡",992,"['🇮🇷🇮🇷🇮🇷😍😍😍🌹🌹🌹', '🔥🔥🔥🔥🔥🔥', 'Afra Saraçoğlu ❤️❤️', 'Ne yaparsanız yapın, Aphra sizin \niçin reklam yapacak en iyi kızdır. \n@afrasaracoglu 🧿🤍']","['🇮🇷🇮🇷🇮🇷😍😍😍🌹🌹🌹', '🔥🔥🔥🔥🔥🔥', 'Afra Saraçoğlu ❤️❤️', 'Ne yaparsanız yapın, Aphra sizin  için reklam yapacak en iyi kızdır.   🧿🤍']"
3392309438486737285,2024-06-17 09:00:19,Bu yazın keyfini DeFacto ile çıkarmaya ne dersin? 🌞 Sezon boyunca gardrobunun favorisi olacak parçalar DeFacto App ve mağazalarda! 🌸,Bu yazın keyfini DeFacto ile çıkarmaya ne dersin? 🌞 Sezon boyunca gardrobunun favorisi olacak parçalar DeFacto App ve mağazalarda! 🌸,409,"['🔥🔥❤️❤️', '🇮🇷🇮🇷🇮🇷😍😍😍🌹🌹🌹']","['🔥🔥❤️❤️', '🇮🇷🇮🇷🇮🇷😍😍😍🌹🌹🌹']"
3391509194222994483,2024-06-16 06:30:49,"Her zaman yanımızda olan, bizi cesaretlendiren, güçlü hissettiren ve sevgisini eksik etmeyen babalarımızın Babalar Günü kutlu olsun! ❤️ #DeFacto","Her zaman yanımızda olan, bizi cesaretlendiren, güçlü hissettiren ve sevgisini eksik etmeyen babalarımızın Babalar Günü kutlu olsun! ❤️ ",262,['Courage 🦁'],['Courage 🦁']
3390799449687155383,2024-06-15 07:00:15,Aileniz ve sevdiklerinizle birlikte neşe dolu bayramlar dileriz! ❤️ #DeFacto,Aileniz ve sevdiklerinizle birlikte neşe dolu bayramlar dileriz! ❤️ ,339,"['Merhaba, bayramin ilk gunu magazalar acik mi acaba?', 'Bayramda Defakto hangi saatlerde açık?', 'Merhaba bugün açık mı ?', 'bayramın ilk günü açık mı ?', 'Bayramın 1. Günü açık olacak mı acaba', 'Merhaba açık mı mağazalar', 'Merhaba bayramda mağazalar açık mi', 'Bir daha defactodan alısverıs yapmayacagım\n\nMagazada 400\n\nOnlıne 230\n\nBu kadar farkmı olur']","['Merhaba, bayramin ilk gunu magazalar acik mi acaba?', 'Bayramda Defakto hangi saatlerde açık?', 'Merhaba bugün açık mı ?', 'bayramın ilk günü açık mı ?', 'Bayramın . Günü açık olacak mı acaba', 'Merhaba açık mı mağazalar', 'Merhaba bayramda mağazalar açık mi', 'Bir daha defactodan alısverıs yapmayacagım  Magazada   Onlıne   Bu kadar farkmı olur']"
3390784339354198846,2024-06-15 06:30:14,Önce DeFacto’ya sonra sevdiklerinizle bayramlaşmaya! ✨ Sevdiklerinizle birlikte mutlu bir bayram geçirmenizi dileriz. ❤️ #DeFacto,Önce DeFacto’ya sonra sevdiklerinizle bayramlaşmaya! ✨ Sevdiklerinizle birlikte mutlu bir bayram geçirmenizi dileriz. ❤️ ,302,['🇮🇷🇮🇷🇮🇷🌹😍😍😍😍'],['🇮🇷🇮🇷🇮🇷🌹😍😍😍😍']
3390769250296070752,2024-06-15 06:00:15,"Sevdiklerinizle bir arada olacağınız, sağlık ve mutluluk dolu bir bayram geçirmeniz dileğiyle! 🌸 İyi bayramlar! ❤️ #DeFacto","Sevdiklerinizle bir arada olacağınız, sağlık ve mutluluk dolu bir bayram geçirmeniz dileğiyle! 🌸 İyi bayramlar! ❤️ ",396,"['🇮🇷🇮🇷🇮🇷🌹🌹😍😍😍', '@afrasaracoglu 🔥']","['🇮🇷🇮🇷🇮🇷🌹🌹😍😍😍', ' 🔥']"
3390255958902447218,2024-06-14 13:00:26,"Bayram kombinin için aradığın her şey DeFacto’da! 🤩 Hadi, önce DeFacto’ya sonra bayramlaşmaya! ❤️","Bayram kombinin için aradığın her şey DeFacto’da! 🤩 Hadi, önce DeFacto’ya sonra bayramlaşmaya! ❤️",244,"['🔥🔥❤️❤️❤️', 'Batuhan Karacakaya ile reklam çekimi yapın onu görmek istiyoruz 😍👏', 'Dm bakar mısınız lutfen']","['🔥🔥❤️❤️❤️', 'Batuhan Karacakaya ile reklam çekimi yapın onu görmek istiyoruz 😍👏', 'Dm bakar mısınız lutfen']"
