post_id,post_date,post_caption,clean_caption,post_likes,comments,clean_comments
3390175976110977787,2024-06-14 10:22:09,"Jewellery al fresco. #HM

Photographer: @nicoleo__",Jewellery al fresco.   Photographer ,2087,"['😍😍😍', 'Love this 💛💛💛', 'HM 👍..', 'Siteniz üzerinden yaptığım alışverişi 5 gündür kargoya bile veremediniz. İptal etmek istediğimde yardımcı da olunmuyor. Bir daha da alışveriş yapmam.', 'the most beautiful 🧡🤎', '🇮🇷🇮🇷🇮🇷🌹🌹😍😍😍', 'Table cloth 1211631007\nPlates 1215006003\nCutting board 0739910001\nCoasters 0836906001\nGlasses 1240022002\nVase 0930305005\nNapkins 1148862004\nBowl 1218082001\nCandles 1111955006\nNecklace 1240822001\nNecklace 1225281001\nNecklace 1238012001\nRings 1237725001\nNecklace 1205088001\nEarrings 1240170001\nBracelet 1240189001\nCandle holder 1210904003\nMugs 1187603001', 'Who’s eating a dish of necklaces 😂 that’s a weird set up', '❤️❤️']","['😍😍😍', 'Love this 💛💛💛', 'HM 👍..', 'Siteniz üzerinden yaptığım alışverişi  gündür kargoya bile veremediniz. İptal etmek istediğimde yardımcı da olunmuyor. Bir daha da alışveriş yapmam.', 'the most beautiful 🧡🤎', '🇮🇷🇮🇷🇮🇷🌹🌹😍😍😍', 'Table cloth  Plates  Cutting board  Coasters  Glasses  Vase  Napkins  Bowl  Candles  Necklace  Necklace  Necklace  Rings  Necklace  Earrings  Bracelet  Candle holder  Mugs ', 'Who’s eating a dish of necklaces 😂 that’s a weird set up', '❤️❤️']"
3389476364643544044,2024-06-13 11:11:31,Buttoned up. #HM,Buttoned up. ,19244,"[""what's happening with online orders? In Italy 2/4 days for delivery but the order has not been shipped after a week."", 'I returned 2 shirts on 25th of may and I have received refund for only 1 shirt. And there is no refund for the other one yet.', 'Do you have the code for the skort in the first image please?', 'Great to make a commercial for an item that is sold out 🙄🙄🙄', '😍', 'Love these😍 beautiful', 'When Rafah get massacared you guys panic and put a massive big sale (maybe you guys realize this would affect the sales due to boycott) and got a lot of sudden order that you weirdly cant handle or maybeeee you guys did this on purpose to scam people by not refunding some of the money. And some people got lazy to deal with refund and just let it go. Nasty business i guess.', 'Amazing 😍', 'bang bacanya ha em atau heemmmmmmm??', 'Ihr solltet wirklich mal eure online homepage verbessern 😄 hat sehr viele mängel.', 'Image 1:\nBomber jacket 1211789004\nImages 2 and 3:\nBelted utility dress 1231083001']","['whats happening with online orders? In Italy / days for delivery but the order has not been shipped after a week.', 'I returned  shirts on th of may and I have received refund for only  shirt. And there is no refund for the other one yet.', 'Do you have the code for the skort in the first image please?', 'Great to make a commercial for an item that is sold out 🙄🙄🙄', '😍', 'Love these😍 beautiful', 'When Rafah get massacared you guys panic and put a massive big sale (maybe you guys realize this would affect the sales due to boycott) and got a lot of sudden order that you weirdly cant handle or maybeeee you guys did this on purpose to scam people by not refunding some of the money. And some people got lazy to deal with refund and just let it go. Nasty business i guess.', 'Amazing 😍', 'bang bacanya ha em atau heemmmmmmm??', 'Ihr solltet wirklich mal eure online homepage verbessern 😄 hat sehr viele mängel.', 'Image  Bomber jacket  Images  and  Belted utility dress ']"
3388079458239444864,2024-06-11 12:56:06,In the linen suit era.  #HM,In the linen suit era.  ,36407,"['Can we get the codes for the “New In” products highlight', 'Please bring back the ""newest"" sort filter!! How are we supposed to shop without it??', 'So you took away the search feature of ‘by newest’ and made it all by recommended under all categories. As a long time customer I want to see only the newest added each day so this is a waste of my time to slog thru. Very unfortunate change.  I’ll check back next week to see if fixed otherwise I’ll be saving a lot of $$ / time', 'Super cool👏👏👏', 'I am loving the linen ear right now 😍🤍🤍🤍', 'Love this', '🤍', 'Yes!😍', 'Love her style 🌈', '❤️❤️', 'What pants are these? @hm', '@hm can you please contact me about an urgent missing refund', 'Would love to be in my linen suit era too however my order from May has yet to leave your warehouse. How disappointing @hm', 'H&M support #genocide#boycott', 'Looks like @annecurtissmith', '😍😍😍 Wow', 'Bring back sort by “newest” on website!!', '❤️❤️❤️❤️❤️❤️']","['Can we get the codes for the “New In” products highlight', 'Please bring back the newest sort filter!! How are we supposed to shop without it??', 'So you took away the search feature of ‘by newest’ and made it all by recommended under all categories. As a long time customer I want to see only the newest added each day so this is a waste of my time to slog thru. Very unfortunate change.  I’ll check back next week to see if fixed otherwise I’ll be saving a lot of $$ / time', 'Super cool👏👏👏', 'I am loving the linen ear right now 😍🤍🤍🤍', 'Love this', '🤍', 'Yes!😍', 'Love her style 🌈', '❤️❤️', 'What pants are these? ', ' can you please contact me about an urgent missing refund', 'Would love to be in my linen suit era too however my order from May has yet to leave your warehouse. How disappointing ', 'H&M support ', 'Looks like ', '😍😍😍 Wow', 'Bring back sort by “newest” on website!!', '❤️❤️❤️❤️❤️❤️']"
3384420542397867551,2024-06-06 11:46:30,Summer sets. #HM,Summer sets. ,46584,"['Hi, what is happening with May’s orders? Can we get an update? No reply from CS and it seems many have same issue. What is going on H&M??', 'I put in an order in May and it says it’s STILL processing. What is going on? No reply from CS and feeling super frustrated', 'What about the earrings!', 'Just order, its free delivery over 300 kr. Why do i have to pay for shipping', 'Where are the May orders?! I’m going on day 13 and the status has been ‘your order is being packed’ the whole time. I was receiving order within 2 days up until til the end of May. CS is useless when I call. I’ve DM’d only for CS to say it’s on its way. This is ridiculous!', 'why h&m close in egypt?', 'Hi, I just received this maxi skirt and the lining is so short I wonder what it covers (barely covers my butt). The description says it’s lined. Please let me know is my piece the odd one out or every piece is the same.', 'My orders still not yet delivered.\nIt’s been long.', 'I placed an order on 01 June 2024 through the website. The shipping period mentioned on the website is 2-7 days. Its beyond the mentioned date and product is still stuck at the warehouse. I have called your customer reps who kept promising that I will get the product within 24-48 hours. This wasnt just the statement of one but FOUR Customer Reps after due ""escalation of the matter""', 'I raised the return request more 5 times. Every time I get a message saying order will be picked up but nobody comes for the pick up. I called customer service and requested the progress she told the pick up is cancelled from my side. She registered the case and raised the return request again. Even after 2 days of registering the case the order was not picked up. When I called the customer service again she told the return is cancelled again. Such a bad application and worst return service. Never using this app again', 'I am from Canada. I made a purchase two weeks ago, and my order has not been confirmed yet. Are you kidding me or what? I feel like it will take more than three months, and I cannot cancel my order. But I promise you, if it arrives, I will return everything and get my money back.', 'How about to ship your orders first ?! I’ve been waiting for two weeks and the order is n it even packed .', ""Another Canadian here - order placed on May 30th and it's still in the warehouse?? At this rate there clothes will be out of style before they arrive. What's going on @hm ?? I can't help but wonder are you just making interest off of our money? Will I even get the clothing?"", 'Hey @hm how about you address the late orders in Canada? There’s a bunch of people coming to your comments saying the same thing.', '@hm Hice un pedido online y fui a la tienda física para devolverlo. No me han reembolsado el dinero ni tampoco tengo los artículos. En atención al cliente no me ayudan. Me siento estafada', 'Whats happening with May orders in Canada @hm . I placed an order over a week ago and its been PROCESSING for almost 10 days… ridiculous', 'Worst return service and customer support. I’m not able to return my order from past 10 days', 'And the earrings @hm ?', 'I bought your clothes and I saw after ethnic disasters. but I saw that the brand is committed to its subcontractors ethically. it is very, very important. if it is the opposite, I will no longer buy', '🖤🖤🖤🖤']","['Hi, what is happening with May’s orders? Can we get an update? No reply from CS and it seems many have same issue. What is going on H&M??', 'I put in an order in May and it says it’s STILL processing. What is going on? No reply from CS and feeling super frustrated', 'What about the earrings!', 'Just order, its free delivery over  kr. Why do i have to pay for shipping', 'Where are the May orders?! I’m going on day  and the status has been ‘your order is being packed’ the whole time. I was receiving order within  days up until til the end of May. CS is useless when I call. I’ve DM’d only for CS to say it’s on its way. This is ridiculous!', 'why h&m close in egypt?', 'Hi, I just received this maxi skirt and the lining is so short I wonder what it covers (barely covers my butt). The description says it’s lined. Please let me know is my piece the odd one out or every piece is the same.', 'My orders still not yet delivered. It’s been long.', 'I placed an order on  June  through the website. The shipping period mentioned on the website is - days. Its beyond the mentioned date and product is still stuck at the warehouse. I have called your customer reps who kept promising that I will get the product within - hours. This wasnt just the statement of one but FOUR Customer Reps after due escalation of the matter', 'I raised the return request more  times. Every time I get a message saying order will be picked up but nobody comes for the pick up. I called customer service and requested the progress she told the pick up is cancelled from my side. She registered the case and raised the return request again. Even after  days of registering the case the order was not picked up. When I called the customer service again she told the return is cancelled again. Such a bad application and worst return service. Never using this app again', 'I am from Canada. I made a purchase two weeks ago, and my order has not been confirmed yet. Are you kidding me or what? I feel like it will take more than three months, and I cannot cancel my order. But I promise you, if it arrives, I will return everything and get my money back.', 'How about to ship your orders first ?! I’ve been waiting for two weeks and the order is n it even packed .', 'Another Canadian here - order placed on May th and its still in the warehouse?? At this rate there clothes will be out of style before they arrive. Whats going on  ?? I cant help but wonder are you just making interest off of our money? Will I even get the clothing?', 'Hey  how about you address the late orders in Canada? There’s a bunch of people coming to your comments saying the same thing.', ' Hice un pedido online y fui a la tienda física para devolverlo. No me han reembolsado el dinero ni tampoco tengo los artículos. En atención al cliente no me ayudan. Me siento estafada', 'Whats happening with May orders in Canada  . I placed an order over a week ago and its been PROCESSING for almost  days… ridiculous', 'Worst return service and customer support. I’m not able to return my order from past  days', 'And the earrings  ?', 'I bought your clothes and I saw after ethnic disasters. but I saw that the brand is committed to its subcontractors ethically. it is very, very important. if it is the opposite, I will no longer buy', '🖤🖤🖤🖤']"
3382998362661337139,2024-06-04 12:40:53,Beach day. #HM,Beach day. ,48041,"['Please cancel my order & give me refund! It’s taking too long!', 'Where is it on the web site to purchase ?', 'Salve ho scritto nei messaggi per cortesia qualcuno mi può rispondere? Grazie', 'I’m in Canada and purchased from your website almost two weeks ago. My orders are still showing up as “processing”. Seems like a very long delivery time!', 'I’m still waiting for an order from May 20…I’ve called, emailed and DM’d with no response …why is the order taking so long and still being processed??', 'It’s beach day, but you haven’t eaten a full meal in years so you have forgotten what joy feels like', '😍😍😍', 'Bikini?', 'Need this🔥obsessed', '🔥', '😍😍', '@hm länk till bikinin?', '@hm honestly, why does it take so long to ship and order? It’s been two weeks now and nothing from you guys. I have called CS twice now to get no help and you don’t even let me cancel the order. Funny enough, I made an order on May 11 that arrived 3 days later. But the following order I made is still packing? For two weeks?', '@chrysianagiovanidou στη δεύτερη οριακά νόμιζα ήσουν εσυ', '@blackmoor.knitting  має кращу 👌🏽', 'Image 1:\nShopper 1227443001', 'I only see clothes for women and sexually confused people. Was wondering if there was something for straight masculine regular men who built the world?', '🙌', '❤️\u200d🔥', '🔥🔥🔥']","['Please cancel my order & give me refund! It’s taking too long!', 'Where is it on the web site to purchase ?', 'Salve ho scritto nei messaggi per cortesia qualcuno mi può rispondere? Grazie', 'I’m in Canada and purchased from your website almost two weeks ago. My orders are still showing up as “processing”. Seems like a very long delivery time!', 'I’m still waiting for an order from May …I’ve called, emailed and DM’d with no response …why is the order taking so long and still being processed??', 'It’s beach day, but you haven’t eaten a full meal in years so you have forgotten what joy feels like', '😍😍😍', 'Bikini?', 'Need this🔥obsessed', '🔥', '😍😍', ' länk till bikinin?', ' honestly, why does it take so long to ship and order? It’s been two weeks now and nothing from you guys. I have called CS twice now to get no help and you don’t even let me cancel the order. Funny enough, I made an order on May  that arrived  days later. But the following order I made is still packing? For two weeks?', ' στη δεύτερη οριακά νόμιζα ήσουν εσυ', '.knitting  має кращу 👌🏽', 'Image  Shopper ', 'I only see clothes for women and sexually confused people. Was wondering if there was something for straight masculine regular men who built the world?', '🙌', '❤️\u200d🔥', '🔥🔥🔥']"
3382383074018558962,2024-06-03 16:18:24,Made for summer. #HM,Made for summer. ,22067,"['Can you add the item number for the black dress in photo 3 please?', 'Καλησπέρα πως βρίσκουμε τα φορέματα;', 'Will the dress 1235213001 be available in the US?', 'Im still waiting for three purchases. Are they that behind in Canada?', 'Hice un pedido online y fui a la tienda física para hacer la devolución (Centro Comercial El Ingenio, Vélez Málaga, España). Pero no me han devuelto el dinero. En atención al cliente no me ayudan. ME SIENTO ESTAFADA', 'I am writing to you from Almería, Spain. Last night at 11:48 p.m. a person called me on the phone and, supposedly, then came to deliver an order that I had placed online at H&M Spain. At that time in my house we are all sleeping and my phone is silent because the next day we all get up early to do our activities. \nIt is absolutely irresponsible from you to send me an email or that a note appears on the website as a “failed delivery attempt” 😣. \nTry again today starting at 3:00 p.m. when I will be back at my house.', 'Best brand ❤️🙌', 'Νούμερο και τιμή?', 'Wie ist bitte die Artikelnummer vom weißen Kleid auf Bild 1???\nLieben Dank', 'Artikelnummer bitte', 'Måste bara återkoppla till er hur SÄMST ni är på att leverera online-varor. Jag handlar det mesta online från olika webshops och blir förvånad varje gång över att ni inte fått snurr på det här. Alla andra har sprungit om er för länge sedan. Jag har gjort min sista beställning från er nu. Lycka till med allt😂', 'loveee 🤍\U0001faf6', '😭 stop fast fashion ww', 'Your restocking levels are absolutely shocking!!!!!! I have been constantly checking your app for a few things and they have been out of stock for weeks now! Very frustrating!', 'Anoche a las 23.48 h vinieron a entregarme un pedido. A esa hora estamos durmiendo y tengo el móvil en silencio. Es una absoluta irresponsabilidad que me envíen un email o que aparezca en el sitio web como “intento fallido” de entrega 😣. Inténtenlo hoy a partir de las 15h', 'Same slides 3 & 4 @hm 🤭', 'Hi H&M - it’s #pridemonth🌈  so maybe first crossdressing or queer commercial?', 'Want that dress ❤️']","['Can you add the item number for the black dress in photo  please?', 'Καλησπέρα πως βρίσκουμε τα φορέματα;', 'Will the dress  be available in the US?', 'Im still waiting for three purchases. Are they that behind in Canada?', 'Hice un pedido online y fui a la tienda física para hacer la devolución (Centro Comercial El Ingenio, Vélez Málaga, España). Pero no me han devuelto el dinero. En atención al cliente no me ayudan. ME SIENTO ESTAFADA', 'I am writing to you from Almería, Spain. Last night at  p.m. a person called me on the phone and, supposedly, then came to deliver an order that I had placed online at H&M Spain. At that time in my house we are all sleeping and my phone is silent because the next day we all get up early to do our activities.  It is absolutely irresponsible from you to send me an email or that a note appears on the website as a “failed delivery attempt” 😣.  Try again today starting at  p.m. when I will be back at my house.', 'Best brand ❤️🙌', 'Νούμερο και τιμή?', 'Wie ist bitte die Artikelnummer vom weißen Kleid auf Bild ??? Lieben Dank', 'Artikelnummer bitte', 'Måste bara återkoppla till er hur SÄMST ni är på att leverera online-varor. Jag handlar det mesta online från olika webshops och blir förvånad varje gång över att ni inte fått snurr på det här. Alla andra har sprungit om er för länge sedan. Jag har gjort min sista beställning från er nu. Lycka till med allt😂', 'loveee 🤍\U0001faf6', '😭 stop fast fashion ww', 'Your restocking levels are absolutely shocking!!!!!! I have been constantly checking your app for a few things and they have been out of stock for weeks now! Very frustrating!', 'Anoche a las . h vinieron a entregarme un pedido. A esa hora estamos durmiendo y tengo el móvil en silencio. Es una absoluta irresponsabilidad que me envíen un email o que aparezca en el sitio web como “intento fallido” de entrega 😣. Inténtenlo hoy a partir de las h', 'Same slides  &   🤭', 'Hi H&M - it’s 🌈  so maybe first crossdressing or queer commercial?', 'Want that dress ❤️']"
3380079045565369765,2024-05-31 12:00:43,By the coast. #HM,By the coast. ,35317,"['Image 1:\nKnit dress 1231933001\n\nImage 2 and 3:\nSuit vest 1215011003\nLinen skirt 1215360002', 'I ordered almost two weeks ago and you guys haven’t even picked it yet . Your customer service is horrible on top@of that', ""Never buy from here again unless you want all your orders to take over a month to get to you. It's been 2 weeks and my product hasn't even shipped yet"", 'HM online service is the worst. I have placed my order almost 3 weeks ago and it hasn’t been shipped yet. HM not replying my emails either. Very frustrating', 'Hey H&M are you going to bring any summer stuff to plus size folks or are we stuck with oversized sweatpants and plain tshirts?', '😍❤️', '🙌', '😍😍', '🔥🔥', '💙🤍 AM ISRAEL 🇮🇱 JAI', 'Armbandet….', '@hm are you discontinuing your plus size clothes?', 'I ordered over 2 weeks ago and my order still hasn’t shipped. Please advise @hm', '@hm my order that I placed on the 19th has still not shipped and your customer service has not been helpful, basically just saying ""thanks for your patience, we are experiencing delays"". At the same time, you have sales going on that increase order volumes, while people wait for orders from two weeks ago to be shipped.', '🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱❤️❤️❤️❤️❤️', 'Boycott !!! FREE PALESTINE 🙌🙌🙌', '😍😍', '🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱', 'Too good😍', '#freepalestine🇵🇸']","['Image  Knit dress   Image  and  Suit vest  Linen skirt ', 'I ordered almost two weeks ago and you guys haven’t even picked it yet . Your customer service is horrible on top that', 'Never buy from here again unless you want all your orders to take over a month to get to you. Its been  weeks and my product hasnt even shipped yet', 'HM online service is the worst. I have placed my order almost  weeks ago and it hasn’t been shipped yet. HM not replying my emails either. Very frustrating', 'Hey H&M are you going to bring any summer stuff to plus size folks or are we stuck with oversized sweatpants and plain tshirts?', '😍❤️', '🙌', '😍😍', '🔥🔥', '💙🤍 AM ISRAEL 🇮🇱 JAI', 'Armbandet….', ' are you discontinuing your plus size clothes?', 'I ordered over  weeks ago and my order still hasn’t shipped. Please advise ', ' my order that I placed on the th has still not shipped and your customer service has not been helpful, basically just saying thanks for your patience, we are experiencing delays. At the same time, you have sales going on that increase order volumes, while people wait for orders from two weeks ago to be shipped.', '🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱❤️❤️❤️❤️❤️', 'Boycott !!! FREE PALESTINE 🙌🙌🙌', '😍😍', '🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱', 'Too good😍', '🇵🇸']"
3379395584636297745,2024-05-30 13:22:48,"The H&M Summer 2024 Collection. #Summer2024 #HM 

Photographer: @carlosgarcia_studio
Stylist: @lisalindqwister",The H&M Summer  Collection.     Photographer  Stylist ,48095,"['Maybe try bringing plus size people some fun and beautiful summer clothes too? We need summer clothes too! Just sayin’', 'Image 1:\nDress 1230880002\nSandals 1224754001\n\nImage 2:\nTop 1236461002\nSkirt 1235799002\nNecklace 1240209002\n\nImage 3:\nDress 1229819001\nBikini bottoms 1238908001\nBracelet 1240189001', '🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱', 'Number 1 is a gaslight', 'Ce sera pour 2025 je pense 😂', '😍😍😍😍', '😍', '🔥🔥🔥', '🔥🔥🔥🔥🔥🔥🔥', '❤️❤️❤️Love it', 'I bought this black dress for beach 2 weeks ago😍🥰', 'Woooow😍😍', '😍😍😍', '😍😍❤️🔥', 'Liked the way of promoting clothing. So Natural', 'Horrible, disculpen. Otros nos gustan más.', 'wann gibt es wieder Member vorteile?', 'why is the 3rd dress only available in XS, S and M? 😮', '😍😍😍😍', '❤️']","['Maybe try bringing plus size people some fun and beautiful summer clothes too? We need summer clothes too! Just sayin’', 'Image  Dress  Sandals   Image  Top  Skirt  Necklace   Image  Dress  Bikini bottoms  Bracelet ', '🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱🇮🇱', 'Number  is a gaslight', 'Ce sera pour  je pense 😂', '😍😍😍😍', '😍', '🔥🔥🔥', '🔥🔥🔥🔥🔥🔥🔥', '❤️❤️❤️Love it', 'I bought this black dress for beach  weeks ago😍🥰', 'Woooow😍😍', '😍😍😍', '😍😍❤️🔥', 'Liked the way of promoting clothing. So Natural', 'Horrible, disculpen. Otros nos gustan más.', 'wann gibt es wieder Member vorteile?', 'why is the rd dress only available in XS, S and M? 😮', '😍😍😍😍', '❤️']"
3377127719294398300,2024-05-27 10:16:57,"Beach escape. #Summer2024 #HM 

Photographer: @rafaelpavarotti_ 
Styling: @kphelan123 
Models: @devynfaithgarcia @anokyai @vittoria",Beach escape.     Photographer   Styling   Models   ,7334,"[""I don't see the skirt on the Spanish website!😞"", 'The average time for a refund of online purchase takes 20 to 25 days in India 😢😢 time to ramp up the refund process nobodys has that much time dude', 'Hej, det är något fel på er hemsida, det går inte att klicka fram till ”Summer shop” som ni skickade meddelande om. ❤️', 'Hi. Is there anyone to reply? I have a question', 'Check my DM pls', '“If you are neutral in situations of injustice, you have chosen the side of the oppressor. If an elephant has its foot on the tail of a mouse, and you say that you are neutral, the mouse will not appreciate your neutrality.”\nDesmond Tutu\n\n#alleyesonpalestine 🇵🇸', ""Why does the app remove items I've added to my favorites? It's happening again"", 'hello I want to ask about something can someone reply?', 'FREE Palestine 🇵🇸🇵🇸🇵🇸', 'You should talk about the deforestation in Brazil that your company has hand in 😀', 'Love the photos of the summer campaign!!!👏👏🔥🔥❤️❤️', '#blockparty 🇵🇸', '😍', 'When l lost my job, I thought I have lost it all. With the little cash of $2.000 I got $15.000 with  she may not know it, but really she has saved my life @ashley__taylor_', 'Blocked 🇵🇸', 'the skirt is already out of stock..i really like to purchase..😭', '🇵🇸🤍🇵🇸🤍', 'free palestine', '😍🖤🔥', '🇵🇸🤍🤍🤍']","['I dont see the skirt on the Spanish website!😞', 'The average time for a refund of online purchase takes  to  days in India 😢😢 time to ramp up the refund process nobodys has that much time dude', 'Hej, det är något fel på er hemsida, det går inte att klicka fram till ”Summer shop” som ni skickade meddelande om. ❤️', 'Hi. Is there anyone to reply? I have a question', 'Check my DM pls', '“If you are neutral in situations of injustice, you have chosen the side of the oppressor. If an elephant has its foot on the tail of a mouse, and you say that you are neutral, the mouse will not appreciate your neutrality.” Desmond Tutu   🇵🇸', 'Why does the app remove items Ive added to my favorites? Its happening again', 'hello I want to ask about something can someone reply?', 'FREE Palestine 🇵🇸🇵🇸🇵🇸', 'You should talk about the deforestation in Brazil that your company has hand in 😀', 'Love the photos of the summer campaign!!!👏👏🔥🔥❤️❤️', ' 🇵🇸', '😍', 'When l lost my job, I thought I have lost it all. With the little cash of $. I got $. with  she may not know it, but really she has saved my life ', 'Blocked 🇵🇸', 'the skirt is already out of stock..i really like to purchase..😭', '🇵🇸🤍🇵🇸🤍', 'free palestine', '😍🖤🔥', '🇵🇸🤍🤍🤍']"
3375054070622147933,2024-05-24 13:36:59,"Sounds of summer. #HM 

Photographer: @nicoleo__",Sounds of summer.    Photographer ,13374,"[""Registered for a return but the item isn't being picked up at all."", 'Will the Mer Soleil tshirt be available in Australia?', 'Portofino🇮🇹❤️', 'Code', 'Only here 🇮🇹🔥', 'Where else 🇮🇹❤️?!', '🇮🇹 ❤️😍🔥', '❤️❤️❤️', '😍😍👏👏👏🔥🔥🔥', '😍', '…and Greece 🇬🇷 🇬🇷🇬🇷🔥', '😍', 'HM 👍..', 'Where is this the place @hm ?Beautiful….❤️', 'You should talk about the deforestation in Brazil that your company has hand in 😀', 'Bellissimo', 'Bellissimo panorama!', 'See D m :)', ""I  have been diagnosed with PCOS and honestly it's been a nightmare.today I'm cure and free.a friend introduced me to @doctor_sikama""]","['Registered for a return but the item isnt being picked up at all.', 'Will the Mer Soleil tshirt be available in Australia?', 'Portofino🇮🇹❤️', 'Code', 'Only here 🇮🇹🔥', 'Where else 🇮🇹❤️?!', '🇮🇹 ❤️😍🔥', '❤️❤️❤️', '😍😍👏👏👏🔥🔥🔥', '😍', '…and Greece 🇬🇷 🇬🇷🇬🇷🔥', '😍', 'HM 👍..', 'Where is this the place  ?Beautiful….❤️', 'You should talk about the deforestation in Brazil that your company has hand in 😀', 'Bellissimo', 'Bellissimo panorama!', 'See D m )', 'I  have been diagnosed with PCOS and honestly its been a nightmare.today Im cure and free.a friend introduced me to ']"
