post_id,post_date,post_caption,clean_caption,post_likes,comments,clean_comments
3401855188638802336,2024-06-30 13:06:01,"Coolest people 🤝 hottest looks @bigsoundfestival 
#bershkastyle #bershkamusic",Coolest people 🤝 hottest looks    ,4173,"['7 çok güzelmiş 👍', '❤️❤️', 'cómo son 😮\u200d💨', 'Bueno bueno BUENO… Hot', 'best for ever🔥', '❤️❤️❤️', '🔥🔥🔥🔥', 'La cantera de Bershka', '❤️\u200d🔥❤️\u200d🔥❤️\u200d🔥❤️\u200d🔥❤️\u200d🔥', '❤️', '❤️🙌🔥', '🌸🌸🌸', 'Amoo!!', 'divinos 💋', 'The best ❤️', '🫂🫂', '❤️❤️❤️❤️❤️🔥👏', '🖤🖤🍒🍒', 'I love you @bershka ❤️❤️❤️❤️']","[' çok güzelmiş 👍', '❤️❤️', 'cómo son 😮\u200d💨', 'Bueno bueno BUENO… Hot', 'best for ever🔥', '❤️❤️❤️', '🔥🔥🔥🔥', 'La cantera de Bershka', '❤️\u200d🔥❤️\u200d🔥❤️\u200d🔥❤️\u200d🔥❤️\u200d🔥', '❤️', '❤️🙌🔥', '🌸🌸🌸', 'Amoo!!', 'divinos 💋', 'The best ❤️', '🫂🫂', '❤️❤️❤️❤️❤️🔥👏', '🖤🖤🍒🍒', 'I love you  ❤️❤️❤️❤️']"
3401026666638726971,2024-06-29 09:39:54,You're cute jeans <3,Youre cute jeans <,16514,"['😍', 'Amazing jeans bershka I am so obsessed with your jeans💞💞💞💞💞💞', '😍😍', 'Wow 😍', '❤🔥', '❤️', '🤩🤩🤩🤩🤩', 'Those are my jeans?', '😍😍😍😍', '😍😍', 'So nice😍😍', '👏', '❤️❤️❤️', 'the mannequin !?😍😍', 'Please do skinny way 28 w or 29 please', 'Why bershka...why..?', ""For third time can I get a anserw please. So when will this sale end because I would really want to personalise a hoodie for my friends birthday but it's on sale so I cannot do it."", 'no , you are cute jeans 💗 the kendall', 'You’re in need of a translator 🤭', 'Indeed', '🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸', 'Your Low waist bootcut jeans slim fit are amazing please come out with more 🙏😭', 'Oh boys, you support colors', '#freepalestine 🇵🇸🍉❤️ #rivertotheseapalestinewillbefree🇵🇸 lütfen #boykot edelim zalimin zulmüne ortak olamayalım lütfen masum halkın katline destek verenlere para kazandırmayın']","['😍', 'Amazing jeans bershka I am so obsessed with your jeans💞💞💞💞💞💞', '😍😍', 'Wow 😍', '❤🔥', '❤️', '🤩🤩🤩🤩🤩', 'Those are my jeans?', '😍😍😍😍', '😍😍', 'So nice😍😍', '👏', '❤️❤️❤️', 'the mannequin !?😍😍', 'Please do skinny way  w or  please', 'Why bershka...why..?', 'For third time can I get a anserw please. So when will this sale end because I would really want to personalise a hoodie for my friends birthday but its on sale so I cannot do it.', 'no , you are cute jeans 💗 the kendall', 'You’re in need of a translator 🤭', 'Indeed', '🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸🇵🇸', 'Your Low waist bootcut jeans slim fit are amazing please come out with more 🙏😭', 'Oh boys, you support colors', ' 🇵🇸🍉❤️ 🇵🇸 lütfen  edelim zalimin zulmüne ortak olamayalım lütfen masum halkın katline destek verenlere para kazandırmayın']"
3400260757192042396,2024-06-28 08:21:53,"BE WHO YOU REALLY WANT TO BE 

❤️🧡💛💚💙💜🩷🩵🤎🖤🤍",BE WHO YOU REALLY WANT TO BE   ❤️🧡💛💚💙💜🩷🩵🤎🖤🤍,5433,"['تدعمون 🏳️\u200d🌈 رجعوا  فلوس  الي صرفتها  عليكم💀😠', 'Shame on you', 'Wtf bro', 'You’re all about clothes and fashion , why adding 🏳️\u200d🌈 into your concept?', 'اخر مره بشتري منكم', 'Boycott', 'WTF!!!!!!', 'Boycott', 'لا عاد حد يشتري منهم', '-1 follower buttom', 'Boycott', 'Love this @bershka !! 🌈💗✨️', 'هويلي ستغفيرتالله 😢رضو ليا فلوسي يا w9', 'U guys are 🔝 love the brand so much🔥', 'حرام بيكم كل فلس بعدد', 'Noo i loved you bershka', 'I was going to markato to spend on you thank god I saw this now I’ll go to some other brand🤟', '#FreePalestine🇵🇸🇵🇸♥🇹🇳', 'WTFF THIS DISAPOINTED ME', '\U0001faf5🏼💞', 'Boycott', 'هههههههههه', '🤬🤬🤬🤬🤬🤬🤬', '🌈💛🌈💛🌈💛', '🏳️\u200d🌈❤️🏳️\u200d🌈❤️❤️🏳️\u200d🌈', '🌈🌈🌈🌈🌈', 'PRIDE IS PRO✊D', 'you need jesus', 'I will not buy anything from Bershka from now on.', ""Bro I thought u're the only brand with standards but no . Shame on u 😕"", '🫂🏳️\u200d⚧️🏳️\u200d🌈\U0001fa77', 'rj3oli drahmi🥲', 'Shame on you', 'Block', 'Low birthrate, low sell! Hahaha 😂😂😂. Think about it again.', 'Omgg, i Love you ❤️❤️🏳️\u200d🌈', '❤️🏳️\u200d🌈', '🌈❤️📢', '😍🥰🌈 Bravo Bershka!', 'i’ll never buy these shit anymore', 'Hola, please … os mando privado sobre un pedido', 'Hola! Hice un pedido hace varios días y no llega… siempre pone en preparación…', ""Omfg i can't wait to get at least 3 of em! They will be soo cute and i'm sure they'll bring some light in the last collection because usualy bershka in italy isn't giving much olny black ehite an beige stuff so i'm realy happy🌈"", 'تالا المملكة العربية السعودية', '💖🌈', 'رجعولي صواردي اولاد لقاف 😔', 'NNNANANANANANANNANA SUR LVDM J’ARRÊTE D’ACHETER CHEZ VOUS', '😡😡😡😡😡😡😡😡😡😡😡', 'عالم و س خ ة', '😮😮😮😮😮😮لاااااااا 😢😢😢😢😢😢', 'حتى نتوما', 'Paralarımı geri verin lan', 'اويليييي دراهمييييي', 'BE!', 'انا ادعم خووي تالا', '🔥🔥❤️', 'Unfollowing right now 👍🏻', 'BRUH', 'Bor wtf it s realy cringe', 'Tfeh!!', 'I want my money back 🥲🔪', 'Rj3ouli 500dt mt3 l 3id🤐🖕', '🏳️\u200d🌈🏳️\u200d🌈🏳️\u200d🌈🏳️\u200d🌈', '🌈🌈🌈🌈🌈', '❤️❤️🏳️\u200d🌈🏳️\u200d🌈', '🙌', '🔥🔥', 'BERSHKA……', '❤️', '\U0001faf6🏽', '\U0001faf6🏼\U0001faf6🏼\U0001faf6🏼', '\U0001fa77\U0001fa77\U0001fa77', 'WTF mendukung LGBT!!!!!', 'Unfollowing 👊🏽', '🌈🌈🌈🌈', 'I luv it ❤️', '❤️😻🌈🏳️\u200d🌈', 'طيب بعد عشر سنين الإنسان الطبيعي لكن بيصير نادر منحطوا داخل قفص للحفاظ عليه لتكمل البشرية ..انتو مش عم تحترموا اصلا هالأشخاص الميولها شاذ بل بدكن تفرضوا عالطفل تغيير جنسه من خلال اللعب على نفسية الطفل و إدخاله بدوامة ..', 'YOU GUYS ARE DISGUSTED \n\nNo one here in Egypt support you !', '🇮🇷🇮🇷🇮🇷🇮🇷😍😍😍😍🌹🌹🌹🌹', 'Как можно с Вами связаться?', 'WTF', 'Khiiiiiiiiiiiiiiiiiiiiittttttt', 'Brotherrr ewwww', 'Do you support homosexuality? 🏳️\u200d🌈🏳️\u200d🌈', 'Brother ewwwww', 'Barrou nikomkom 7ata entom', '#turkey🇹🇷 Heyyo do you see this shit', 'Ewwwwwwww', 'القم انفولو', 'whatttttt', '😷', 'Unfollowed disrespectfully']","['تدعمون 🏳️\u200d🌈 رجعوا  فلوس  الي صرفتها  عليكم💀😠', 'Shame on you', 'Wtf bro', 'You’re all about clothes and fashion , why adding 🏳️\u200d🌈 into your concept?', 'اخر مره بشتري منكم', 'Boycott', 'WTF!!!!!!', 'Boycott', 'لا عاد حد يشتري منهم', '- follower buttom', 'Boycott', 'Love this  !! 🌈💗✨️', 'هويلي ستغفيرتالله 😢رضو ليا فلوسي يا w', 'U guys are 🔝 love the brand so much🔥', 'حرام بيكم كل فلس بعدد', 'Noo i loved you bershka', 'I was going to markato to spend on you thank god I saw this now I’ll go to some other brand🤟', '🇵🇸🇵🇸♥🇹🇳', 'WTFF THIS DISAPOINTED ME', '\U0001faf5🏼💞', 'Boycott', 'هههههههههه', '🤬🤬🤬🤬🤬🤬🤬', '🌈💛🌈💛🌈💛', '🏳️\u200d🌈❤️🏳️\u200d🌈❤️❤️🏳️\u200d🌈', '🌈🌈🌈🌈🌈', 'PRIDE IS PRO✊D', 'you need jesus', 'I will not buy anything from Bershka from now on.', 'Bro I thought ure the only brand with standards but no . Shame on u 😕', '🫂🏳️\u200d⚧️🏳️\u200d🌈\U0001fa77', 'rjoli drahmi🥲', 'Shame on you', 'Block', 'Low birthrate, low sell! Hahaha 😂😂😂. Think about it again.', 'Omgg, i Love you ❤️❤️🏳️\u200d🌈', '❤️🏳️\u200d🌈', '🌈❤️📢', '😍🥰🌈 Bravo Bershka!', 'i’ll never buy these shit anymore', 'Hola, please … os mando privado sobre un pedido', 'Hola! Hice un pedido hace varios días y no llega… siempre pone en preparación…', 'Omfg i cant wait to get at least  of em! They will be soo cute and im sure theyll bring some light in the last collection because usualy bershka in italy isnt giving much olny black ehite an beige stuff so im realy happy🌈', 'تالا المملكة العربية السعودية', '💖🌈', 'رجعولي صواردي اولاد لقاف 😔', 'NNNANANANANANANNANA SUR LVDM J’ARRÊTE D’ACHETER CHEZ VOUS', '😡😡😡😡😡😡😡😡😡😡😡', 'عالم و س خ ة', '😮😮😮😮😮😮لاااااااا 😢😢😢😢😢😢', 'حتى نتوما', 'Paralarımı geri verin lan', 'اويليييي دراهمييييي', 'BE!', 'انا ادعم خووي تالا', '🔥🔥❤️', 'Unfollowing right now 👍🏻', 'BRUH', 'Bor wtf it s realy cringe', 'Tfeh!!', 'I want my money back 🥲🔪', 'Rjouli dt mt l id🤐🖕', '🏳️\u200d🌈🏳️\u200d🌈🏳️\u200d🌈🏳️\u200d🌈', '🌈🌈🌈🌈🌈', '❤️❤️🏳️\u200d🌈🏳️\u200d🌈', '🙌', '🔥🔥', 'BERSHKA……', '❤️', '\U0001faf6🏽', '\U0001faf6🏼\U0001faf6🏼\U0001faf6🏼', '\U0001fa77\U0001fa77\U0001fa77', 'WTF mendukung LGBT!!!!!', 'Unfollowing 👊🏽', '🌈🌈🌈🌈', 'I luv it ❤️', '❤️😻🌈🏳️\u200d🌈', 'طيب بعد عشر سنين الإنسان الطبيعي لكن بيصير نادر منحطوا داخل قفص للحفاظ عليه لتكمل البشرية ..انتو مش عم تحترموا اصلا هالأشخاص الميولها شاذ بل بدكن تفرضوا عالطفل تغيير جنسه من خلال اللعب على نفسية الطفل و إدخاله بدوامة ..', 'YOU GUYS ARE DISGUSTED   No one here in Egypt support you !', '🇮🇷🇮🇷🇮🇷🇮🇷😍😍😍😍🌹🌹🌹🌹', 'Как можно с Вами связаться?', 'WTF', 'Khiiiiiiiiiiiiiiiiiiiiittttttt', 'Brotherrr e', 'Do you support homosexuality? 🏳️\u200d🌈🏳️\u200d🌈', 'Brother e', 'Barrou nikomkom ata entom', '🇹🇷 Heyyo do you see this shit', 'E', 'القم انفولو', 'whatttttt', '😷', 'Unfollowed disrespectfully']"
3399586006773539762,2024-06-27 09:57:34,"She came, she posed, she conquered. Periodt. 💅🏼💕","She came, she posed, she conquered. Periodt. 💅🏼💕",23754,"['I need this silver bag fr', 'The bag 😍😍😍😍 where can I find it', '❤️', 'I’m so obsessed with bershka', '😍😍😍😍', ""I need the silver bag and the white shoes with that adorable flowers \U0001f979\U0001f979 I'm obsessed💜"", 'Quiero ese bolso 😢', '❤️❤️', 'Hola! Hice un pedido hace varios días y no llega… siempre pone en preparación…', ""Your service is bad I ordered a skirt from your app and I came to pick up the shipment from the Barashka store in Azrieli Tel Aviv. after receiving a text that the shipment was waiting for me there, the seller said that the shipment wasn’t with them and that I should contact a courier company. The courier company doesn’t answer me and I ordered from you!! You need to make sure the skirt arrives. I paid money and you lost a skirt I ordered for a my wedding I have next week!!! and no one can tell me where my skirt is. You seriously with me? maybe I'll get some kind of answer from here. I'm rly frustrated. Please answer me and tell me where is my skirt."", 'Code for the pink dress?', 'Is the bag on the 2nd slide on sale yet?', 'Beautiful ❤️', '\U0001fa75❤️\u200d🔥🤍', '@bershka please refund me for my package that never arrived because it was stolen!!! Truly the worst customer service I’ve ever received', 'Silver bag🤩🤩', '❤️😍🙌', '😍😍😍', 'Obsessed with coquette and Y2K 🌸🤍', 'Beautiful 🔥❤️❤️❤️❤️❤️', 'Good outfits🌸', 'The pink dress!', '🇮🇷🇮🇷🇮🇷🇮🇷🌹🌹🌹🌹😍😍😍😍', 'She served ✨', '❤️❤️❤️❤️❤️❤️', '😍😍😍😍😍', '🔥🔥🔥🔥🔥', '😍😍😍😍😍😍', '❤️❤️❤️❤️❤️❤️❤️', '😍😍😍😍😍😍', '🔥🔥🔥🔥🔥🔥🔥🔥', '🙌🙌🙌', 'Habrá restock de junji ito?', 'lucuu', 'That silver bag???? Omg @bershka 😍', 'Can I instagram this model? She is so beautiful \U0001faf6🏻❤️❤️', '🍉🍉🇵🇸🍉🇵🇸🇵🇸🇵🇸']","['I need this silver bag fr', 'The bag 😍😍😍😍 where can I find it', '❤️', 'I’m so obsessed with bershka', '😍😍😍😍', 'I need the silver bag and the white shoes with that adorable flowers \U0001f979\U0001f979 Im obsessed💜', 'Quiero ese bolso 😢', '❤️❤️', 'Hola! Hice un pedido hace varios días y no llega… siempre pone en preparación…', 'Your service is bad I ordered a skirt from your app and I came to pick up the shipment from the Barashka store in Azrieli Tel Aviv. after receiving a text that the shipment was waiting for me there, the seller said that the shipment wasn’t with them and that I should contact a courier company. The courier company doesn’t answer me and I ordered from you!! You need to make sure the skirt arrives. I paid money and you lost a skirt I ordered for a my wedding I have next week!!! and no one can tell me where my skirt is. You seriously with me? maybe Ill get some kind of answer from here. Im rly frustrated. Please answer me and tell me where is my skirt.', 'Code for the pink dress?', 'Is the bag on the nd slide on sale yet?', 'Beautiful ❤️', '\U0001fa75❤️\u200d🔥🤍', ' please refund me for my package that never arrived because it was stolen!!! Truly the worst customer service I’ve ever received', 'Silver bag🤩🤩', '❤️😍🙌', '😍😍😍', 'Obsessed with coquette and YK 🌸🤍', 'Beautiful 🔥❤️❤️❤️❤️❤️', 'Good outfits🌸', 'The pink dress!', '🇮🇷🇮🇷🇮🇷🇮🇷🌹🌹🌹🌹😍😍😍😍', 'She served ✨', '❤️❤️❤️❤️❤️❤️', '😍😍😍😍😍', '🔥🔥🔥🔥🔥', '😍😍😍😍😍😍', '❤️❤️❤️❤️❤️❤️❤️', '😍😍😍😍😍😍', '🔥🔥🔥🔥🔥🔥🔥🔥', '🙌🙌🙌', 'Habrá restock de junji ito?', 'lucuu', 'That silver bag???? Omg  😍', 'Can I instagram this model? She is so beautiful \U0001faf6🏻❤️❤️', '🍉🍉🇵🇸🍉🇵🇸🇵🇸🇵🇸']"
3398890247170450844,2024-06-26 10:55:13,Life is too short to not wear hot summer fits 🔥@arletteeschuur #bershkastyle,Life is too short to not wear hot summer fits 🔥 ,17285,"['hi, a dress I wanted to buy is out of stock, will you put the stock back or is it gone?', 'This is literally so hot 🔥🔥🔥', 'Siteniz çöktü erişim yok', '😍😍😍😍', '🔥', '👏', 'Love this summer look ✨️🌼\U0001faf6', '😍', 'Deberían respetar horarios y lo que deja uno en la cesta de la app, dicen que las rebajas empiezan a partir de las 19:00 horas he entrado a las 18:30 pm y ya no tenía ni lo de la cesta y todo agotado que mal lo hacen de verdad 🤬🤬', 'Love the outfit. 😃💕💖', '😍💜💜', '👏👏👏', 'KIEDY ZROBICIE KOSZULKE Z LANA DEL REY?????', 'mi marca fav', 'Cómo todos los años, IMPOSIBLE COMPRAR EN LA WEB, Se colapsa y pierdes toda la cesta, 4 años consecutivos que pierdo toda la cesta.', '🇮🇷🇮🇷🇮🇷🇮🇷🌹🌹🌹🌹😍😍😍😍', '❤️❤️', 'Yeah def 🤍', '\U0001faf6', '🔝✔️', '♥️♥️', '😮', 'SB NEEDED ❤️❤️', 'I’ve been trying to get the washed out blue super baggy size 36 jeans, but they’re always sold out and I can’t even turn notification for it on', 'Bunu alınca ablayı da veriyolar mi?', ""When will that sale end because I REALLY wanna order that personalised sweater for my friends birthday (the one with stripes on front, dark blue with white strips/white with black stripes) but I can't personalise it as it's on sale right now."", 'Pésimossssss!', 'Sales?', 'Best clothing brand ever', 'Please don’t shop here! They stole over $200 from me after my package was stolen and refuse to send me a new package or refund me!', 'if you’re going to do a sale, do it right…website is down👏', '🙌🙌🙌']","['hi, a dress I wanted to buy is out of stock, will you put the stock back or is it gone?', 'This is literally so hot 🔥🔥🔥', 'Siteniz çöktü erişim yok', '😍😍😍😍', '🔥', '👏', 'Love this summer look ✨️🌼\U0001faf6', '😍', 'Deberían respetar horarios y lo que deja uno en la cesta de la app, dicen que las rebajas empiezan a partir de las  horas he entrado a las  pm y ya no tenía ni lo de la cesta y todo agotado que mal lo hacen de verdad 🤬🤬', 'Love the outfit. 😃💕💖', '😍💜💜', '👏👏👏', 'KIEDY ZROBICIE KOSZULKE Z LANA DEL REY?????', 'mi marca fav', 'Cómo todos los años, IMPOSIBLE COMPRAR EN LA WEB, Se colapsa y pierdes toda la cesta,  años consecutivos que pierdo toda la cesta.', '🇮🇷🇮🇷🇮🇷🇮🇷🌹🌹🌹🌹😍😍😍😍', '❤️❤️', 'Yeah def 🤍', '\U0001faf6', '🔝✔️', '♥️♥️', '😮', 'SB NEEDED ❤️❤️', 'I’ve been trying to get the washed out blue super baggy size  jeans, but they’re always sold out and I can’t even turn notification for it on', 'Bunu alınca ablayı da veriyolar mi?', 'When will that sale end because I REALLY wanna order that personalised sweater for my friends birthday (the one with stripes on front, dark blue with white strips/white with black stripes) but I cant personalise it as its on sale right now.', 'Pésimossssss!', 'Sales?', 'Best clothing brand ever', 'Please don’t shop here! They stole over $ from me after my package was stolen and refuse to send me a new package or refund me!', 'if you’re going to do a sale, do it right…website is down👏', '🙌🙌🙌']"
3398114831140887066,2024-06-25 09:14:36,Never not comfy 🐚,Never not comfy 🐚,8063,"['Stylish 😍🔥', '😍', '😍💜💜💜', '😍😍😍', '👏👏', '❤️', 'Slayyy😍', '😍😍😍', 'Waw👏😍', '❤️❤️🔥🔥🔥', 'PSA don’t ever shop here!! I am a first time customer and my package was stolen 😭 I’ve been going back and forth with their third party customer service team begging them to send me a new package not even a refund and they keep replying by telling me to check with my neighbours. Absolutely awful service, I’m so beyond disgusted and disappointed and will never shop here again as they don’t value their customers!', 'Please restock sizes in your flat slouchy biker boots with buckles❤️', 'SB NEEDED ❤️❤️', '😂😂😂😂', '💫🤘', '🙌🙌🙌']","['Stylish 😍🔥', '😍', '😍💜💜💜', '😍😍😍', '👏👏', '❤️', 'Slayyy😍', '😍😍😍', 'Waw👏😍', '❤️❤️🔥🔥🔥', 'PSA don’t ever shop here!! I am a first time customer and my package was stolen 😭 I’ve been going back and forth with their third party customer service team begging them to send me a new package not even a refund and they keep replying by telling me to check with my neighbours. Absolutely awful service, I’m so beyond disgusted and disappointed and will never shop here again as they don’t value their customers!', 'Please restock sizes in your flat slouchy biker boots with buckles❤️', 'SB NEEDED ❤️❤️', '😂😂😂😂', '💫🤘', '🙌🙌🙌']"
3397436844674132545,2024-06-24 10:47:34,In his summer boy era ☀️ @troublesomesss #bershkastyle,In his summer boy era ☀️  ,12809,"['😮😍', '🔥🔥🔥❤', 'My boy 😍❤️', 'Love 🔥🔥', '😮🔥❤️', '🔥🔥', 'I like what you do🔥🔥🔥', 'Love', 'I like these t-shirts 🔥👏', '.', '.', 'sami czarni u Was. to nie dla Polaków?', 'Que grande camaohhhhhh', 'bass💥', 'A ese yo lo conozco', 'Camavinga', 'Cama voooo', 'Camavinga ?', 'Camavinga?', 'Camavinga?', 'Camavinga?', 'Camavinga?', 'Camavinga?', 'fua camavinga']","['😮😍', '🔥🔥🔥❤', 'My boy 😍❤️', 'Love 🔥🔥', '😮🔥❤️', '🔥🔥', 'I like what you do🔥🔥🔥', 'Love', 'I like these t-shirts 🔥👏', '.', '.', 'sami czarni u Was. to nie dla Polaków?', 'Que grande camaohhhhhh', 'bass💥', 'A ese yo lo conozco', 'Camavinga', 'Cama voooo', 'Camavinga ?', 'Camavinga?', 'Camavinga?', 'Camavinga?', 'Camavinga?', 'Camavinga?', 'fua camavinga']"
3396697537265250713,2024-06-23 10:18:41,Coolest girl in town 🐸🌟 @francescaleslie_ #bershkastyle,Coolest girl in town 🐸🌟  ,10034,"['The pants 🔥🔥🔥🔥🔥🔥🔥', '😍', '😍😍', 'Omg where I can find The  pants?', '⭐️🍒🐸', '🔥🔥❤️🔥', 'Stylé 💚', 'Hey! Check your DMs!!! And #yesbershka hashtag 🌸 I let you use my pics!!!', '😎💥', 'Magnifique 😍', '😍😍', 'Where are the summer sales???? Its supose they start 21 of june', 'El pantalón 🔥', '🔥', 'Slime 🔥', 'Cooooool', 'Summer sale in Kuwait??!!', 'Para cuándo los locales en Argentina??', 'i already shared my best outfit 🙌🔥', 'Eso los usan los del kinder']","['The pants 🔥🔥🔥🔥🔥🔥🔥', '😍', '😍😍', 'Omg where I can find The  pants?', '⭐️🍒🐸', '🔥🔥❤️🔥', 'Stylé 💚', 'Hey! Check your DMs!!! And  hashtag 🌸 I let you use my pics!!!', '😎💥', 'Magnifique 😍', '😍😍', 'Where are the summer sales???? Its supose they start  of june', 'El pantalón 🔥', '🔥', 'Slime 🔥', 'Cooooool', 'Summer sale in Kuwait??!!', 'Para cuándo los locales en Argentina??', 'i already shared my best outfit 🙌🔥', 'Eso los usan los del kinder']"
3395948258510533964,2024-06-22 09:30:00,PJs fits are your new obsession 🫶,PJs fits are your new obsession 🫶,9861,"['Porfa una tienda en Chile 😢', 'Why not?! 🙌', 'I made photos with #bershkastyle !!!', '❤️', '🔥🔥❤️', '❤️❤️', '👏', '🔥🔥', 'Cuando volveis a Caracas?', '😂😂😂😂😂😂']","['Porfa una tienda en Chile 😢', 'Why not?! 🙌', 'I made photos with  !!!', '❤️', '🔥🔥❤️', '❤️❤️', '👏', '🔥🔥', 'Cuando volveis a Caracas?', '😂😂😂😂😂😂']"
3395219682110827738,2024-06-21 09:22:27,Winning is in my DNA 🌟,Winning is in my DNA 🌟,15263,"['😍', 'Necesito una tienda en Chile', '❤️❤️', '🤾\u200d♀️🤾\u200d♀️', '🔥❤️😍 88 💚', '🥇', 'Wow🔥', 'when does the sale start?🙃🙃🙃 it always starts on June 21', '@bershka  what’s y’all email? Y’all sent me shorts with a Sensor on them…..']","['😍', 'Necesito una tienda en Chile', '❤️❤️', '🤾\u200d♀️🤾\u200d♀️', '🔥❤️😍  💚', '🥇', 'Wow🔥', 'when does the sale start?🙃🙃🙃 it always starts on June ', '  what’s y’all email? Y’all sent me shorts with a Sensor on them…..']"
