post_id,post_date,post_caption,clean_caption,post_likes,comments,clean_comments
3400976136886581115,2024-06-29 07:59:30,Shhh... It’s jorts turn! 🫰,Shhh... It’s jorts turn! 🫰,1919,"['When do you guys restock?', 'عالی😍🔥', 'Dont buy in the app they are selling clothes without stock and after don’t return your money.', '👏👏🔥🔥', '❤️❤️❤️❤️', 'Hi could you please restock Cowboy buckle belt (size 85) in Turkey? 🤍', '✨🌟✨', '❤️❤️❤️', '❤️❤️❤️❤️', 'never buy on the pull and bear site they are thieves you return the item and you are not refunded']","['When do you guys restock?', 'عالی😍🔥', 'Dont buy in the app they are selling clothes without stock and after don’t return your money.', '👏👏🔥🔥', '❤️❤️❤️❤️', 'Hi could you please restock Cowboy buckle belt (size ) in Turkey? 🤍', '✨🌟✨', '❤️❤️❤️', '❤️❤️❤️❤️', 'never buy on the pull and bear site they are thieves you return the item and you are not refunded']"
3400262309178016169,2024-06-28 08:21:15,The #pullandbearcommunity wears what make them proud 💖,The  wears what make them proud 💖,2581,"['Proud to love is such a cute slogan!! I would totally wear a shirt with that on it🤍', 'When will this collection be available In Romania?', 'ناااایس😍', 'Dont buy in the app they are selling clothes without stock and after don’t return your money.', 'Wow😍', 'Love is love 💗', '👏', 'Stunning 🔥🙌', 'Love is Love❤️', 'اصحي للخواجات', '🤝', 'Estas roupas tenhem na loja 😍😍', '@pullandbear check DM']","['Proud to love is such a cute slogan!! I would totally wear a shirt with that on it🤍', 'When will this collection be available In Romania?', 'ناااایس😍', 'Dont buy in the app they are selling clothes without stock and after don’t return your money.', 'Wow😍', 'Love is love 💗', '👏', 'Stunning 🔥🙌', 'Love is Love❤️', 'اصحي للخواجات', '🤝', 'Estas roupas tenhem na loja 😍😍', ' check DM']"
3399526685911343246,2024-06-27 08:00:01,SweetTasteWD 🍒 by @rocksrollscandy,SweetTasteWD 🍒 by ,37782,"['What this has to do with fashion and your brand?', 'i love when brands get creative and give artists platforms man', 'NEW DROP!!!🔥🔥🔥', 'I love this😍👏', 'Love 🙌', 'Hola pull&bear', 'What if you know, this is oil lamp candy, a candy that has been sticking for years in Turkey', 'Dont buy in the app they are selling clothes without stock and after don’t return your money.🤬🤬', '👏👏👏', 'My teeth is hurting just by looking at it…….', 'How to apply to be your model?', '\U0001fae0🤤🔥', 'Voglio lavorare qui dentro 😍😍😍', 'Best @rocksrollscandy', 'Mandarnos carsmelitos a las tiendas @pullandbear', 'Regáleme algo mejor', '🔥', '❤️', '🔥🔥', '🙄🤔🤔🤔 what this has to do with fashion and your brand… very silly', '❤️❤️', '❤️❤️❤️', '😍🍒🍒', '❤❤️❤️', 'Me lo como todos', '🍬💗🍬', 'Ok, you got me at 🍒🍒🍒', '❤️❤️', '🍒🍒🍒🍒🍒🍒🍒🍒🍒', '😮😮😮parece imposible 👏👏👏👏🍒🔥🔥🔥', 'Bizim ziyaret şekeri olmus', 'Gosh! I want some!!!! Sell it on line and in your shops!!!!', 'I need these candies in my Pull and Bear in Poland🍒🍒🍒❤️', 'I want it🍒😍']","['What this has to do with fashion and your brand?', 'i love when brands get creative and give artists platforms man', 'NEW DROP!!!🔥🔥🔥', 'I love this😍👏', 'Love 🙌', 'Hola pull&bear', 'What if you know, this is oil lamp candy, a candy that has been sticking for years in Turkey', 'Dont buy in the app they are selling clothes without stock and after don’t return your money.🤬🤬', '👏👏👏', 'My teeth is hurting just by looking at it…….', 'How to apply to be your model?', '\U0001fae0🤤🔥', 'Voglio lavorare qui dentro 😍😍😍', 'Best ', 'Mandarnos carsmelitos a las tiendas ', 'Regáleme algo mejor', '🔥', '❤️', '🔥🔥', '🙄🤔🤔🤔 what this has to do with fashion and your brand… very silly', '❤️❤️', '❤️❤️❤️', '😍🍒🍒', '❤❤️❤️', 'Me lo como todos', '🍬💗🍬', 'Ok, you got me at 🍒🍒🍒', '❤️❤️', '🍒🍒🍒🍒🍒🍒🍒🍒🍒', '😮😮😮parece imposible 👏👏👏👏🍒🔥🔥🔥', 'Bizim ziyaret şekeri olmus', 'Gosh! I want some!!!! Sell it on line and in your shops!!!!', 'I need these candies in my Pull and Bear in Poland🍒🍒🍒❤️', 'I want it🍒😍']"
3398808278056454848,2024-06-26 08:13:08,Is there anything more grammable than a green tie-dye dress? 🐉 @lululindinger,Is there anything more grammable than a green tie-dye dress? 🐉 ,1731,"['❤️💌❤️🍓', 'Phone number please', 'Imposible comprar por la página,solucionenlo por favor', ""Hello, would you mind stopping canceling all my orders?\nIt's been twice, I ordered from you twice, it's canceled and I don't even know why"", 'never buy on the pull and bear site they are thieves you return the item and you are not refunded']","['❤️💌❤️🍓', 'Phone number please', 'Imposible comprar por la página,solucionenlo por favor', 'Hello, would you mind stopping canceling all my orders? Its been twice, I ordered from you twice, its canceled and I dont even know why', 'never buy on the pull and bear site they are thieves you return the item and you are not refunded']"
3398079177846827340,2024-06-25 08:03:46,"When in doubt, check out what looks the #pullandbearcommunity would wear to a festival. Easy. 🌺","When in doubt, check out what looks the  would wear to a festival. Easy. 🌺",4546,"['😍😍', '👏', '😍😍😍😍', 'Unbelievable! I ordered on June 9th and still haven’t received my order.. the customer service is not responding. What a shame..', '🔥🔥🔥', '🔥🔥🔥', 'Are these jeans on pic 1 available in Stockholm store?', 'Do you guys do restocks?', '💙🤍', 'Cocooa 🔥🔥🔥🔥🔥❤️', 'Slaying']","['😍😍', '👏', '😍😍😍😍', 'Unbelievable! I ordered on June th and still haven’t received my order.. the customer service is not responding. What a shame..', '🔥🔥🔥', '🔥🔥🔥', 'Are these jeans on pic  available in Stockholm store?', 'Do you guys do restocks?', '💙🤍', 'Cocooa 🔥🔥🔥🔥🔥❤️', 'Slaying']"
3397352574657478153,2024-06-24 08:00:08,Some #ootd from @caterina.iannolo roll 🤳,Some  from .iannolo roll 🤳,9814,"['Gorgeous as always ☺️', '😍😍', 'yezzz!! \U0001fa77\U0001fa77🧡🧡🌺🌺', 'these vibesss😍', 'Muy guapa esa chica', '4) love to wear 😍😍😍', '😍😍😍', 'BE CAR3FUL PULL&BEAR IS SELLING CLOTHES WITHOUT STOCK AND DONT RETURN YOUR MONEY', '😍', 'Stunning 🔥🙌', '😍', '😮😮😮', 'Schuhgröße 49 😂😂😂', '❤️❤️', 'Big foot', '🔥🔥❤️❤️', 'The worst purchasing experience through the application. The amount was deducted and I did not find the order in my list. To recover my money, they asked for an account statement. Why should I show you my account statement to recover my money from you?', 'Salut Jennifer', '😍😍😍', '🔥', 'SC@MMERS GIVE BACK MY MONEY. More of six months waiting because your  use your app to $teal the people', 'Alm la patita', 'We are manufacturers and suppliers of Fashion Leather Jackets🔥🔥🔥', 'Está se duerme de pie.... Madre mía la edición de la foto, le ha puesto dos traineras en los pies.', 'Omggggg @caterina.iannolo', 'Huge @pullandbear Is shooting in the elevator amateurish?']","['Gorgeous as always ☺️', '😍😍', 'yezzz!! \U0001fa77\U0001fa77🧡🧡🌺🌺', 'these vibesss😍', 'Muy guapa esa chica', ') love to wear 😍😍😍', '😍😍😍', 'BE CARFUL PULL&BEAR IS SELLING CLOTHES WITHOUT STOCK AND DONT RETURN YOUR MONEY', '😍', 'Stunning 🔥🙌', '😍', '😮😮😮', 'Schuhgröße  😂😂😂', '❤️❤️', 'Big foot', '🔥🔥❤️❤️', 'The worst purchasing experience through the application. The amount was deducted and I did not find the order in my list. To recover my money, they asked for an account statement. Why should I show you my account statement to recover my money from you?', 'Salut Jennifer', '😍😍😍', '🔥', 'SC GIVE BACK MY MONEY. More of six months waiting because your  use your app to $teal the people', 'Alm la patita', 'We are manufacturers and suppliers of Fashion Leather Jackets🔥🔥🔥', 'Está se duerme de pie.... Madre mía la edición de la foto, le ha puesto dos traineras en los pies.', 'Omggggg .iannolo', 'Huge  Is shooting in the elevator amateurish?']"
3396631510524379988,2024-06-23 08:07:30,"The more baggy the fit, the better ↔️","The more baggy the fit, the better ↔️",2148,"['Baggy fitss❤️❤️ especially on plus size guys too pls', '❤️❤️', '😍😍😍😍', 'The worst purchasing experience through the application. The amount was deducted and I did not find the order in my list. To recover my money, they asked for an account statement. Why should I show you my account statement to recover my money from you?', '❤️', 'Adoro', 'BE CAR3FUL PULL&BEAR IS SELLING CLOTHES WITHOUT STOCK AND DONT RETURN YOUR MONEY', '🔥']","['Baggy fitss❤️❤️ especially on plus size guys too pls', '❤️❤️', '😍😍😍😍', 'The worst purchasing experience through the application. The amount was deducted and I did not find the order in my list. To recover my money, they asked for an account statement. Why should I show you my account statement to recover my money from you?', '❤️', 'Adoro', 'BE CARFUL PULL&BEAR IS SELLING CLOTHES WITHOUT STOCK AND DONT RETURN YOUR MONEY', '🔥']"
3395905330716550674,2024-06-22 08:07:24,"PB Open House ⌂
Essential Summer Outfits by @eduardtorres7",PB Open House ⌂ Essential Summer Outfits by ,2468,"['🤍👏🏼🖤', 'Cute❤️😘', '🔥👍', 'Great Outfit 🔥🙌', 'La peor y más pobre colección en años! Super decepcionante... Pocas piezas y súper aburridos 💔', 'Me encantan todos 😍😍😍', 'Wow', '\U0001faf6🏼', 'Niceee ❤', 'The knit 🤩', '🔥🔥🔥🔥🔥', '🔥', 'Negro en verano ? \U0001fae4', ""Baddest shoes ever ... I contacted your store here in Jordan and before 5 months and they want me to go to physical store!!!!! I live in a another city!!! Bad quality and bad service... I don't recommend this shoes brand""]","['🤍👏🏼🖤', 'Cute❤️😘', '🔥👍', 'Great Outfit 🔥🙌', 'La peor y más pobre colección en años! Super decepcionante... Pocas piezas y súper aburridos 💔', 'Me encantan todos 😍😍😍', 'Wow', '\U0001faf6🏼', 'Niceee ❤', 'The knit 🤩', '🔥🔥🔥🔥🔥', '🔥', 'Negro en verano ? \U0001fae4', 'Baddest shoes ever ... I contacted your store here in Jordan and before  months and they want me to go to physical store!!!!! I live in a another city!!! Bad quality and bad service... I dont recommend this shoes brand']"
3395420730848260828,2024-06-21 16:01:54,"The lookbook. 🐎 
Cowboy Collection w/ @stellajones",The lookbook. 🐎  Cowboy Collection w/ ,4946,"[""It's the boots for me ❤️"", 'Que coleção incrível! Apaixonada ❤👏👏😍😍', '❤️❤️', 'Hermosaaa', 'Peccato che sia vestita da monta americana e ha tutte le attrezzature all’inglese! 🤦🏽\u200d♀️', '🔥🤒', 'QUIERO TODO🙌❤️👏', '❤️', 'We need the cow print boots in Mexico! 🇲🇽🤍🖤 not available yet 😪', ""girl's name"", 'I need to return something  from USA and there is no contact!!!', 'Stunning 🔥🙌', '1) these I love to wear 😍😍']","['Its the boots for me ❤️', 'Que coleção incrível! Apaixonada ❤👏👏😍😍', '❤️❤️', 'Hermosaaa', 'Peccato che sia vestita da monta americana e ha tutte le attrezzature all’inglese! 🤦🏽\u200d♀️', '🔥🤒', 'QUIERO TODO🙌❤️👏', '❤️', 'We need the cow print boots in Mexico! 🇲🇽🤍🖤 not available yet 😪', 'girls name', 'I need to return something  from USA and there is no contact!!!', 'Stunning 🔥🙌', ') these I love to wear 😍😍']"
3395188173091196927,2024-06-21 08:19:51,Cowboy Collection w/ @stellajones 🤎,Cowboy Collection w/  🤎,2328,"['🤍🖤 I love it', 'Stunning', 'Hi there - do you have a customer service phone number? I ordered a gift card for Father’s Day that still hasn’t arrived', '🔥🔥🔥', 'How can I speak to someone about being refunded the wrong amount?', '❤️❤️', '🔥🔥🔥', '🔥🔥❤️❤️', 'When does summer sale begin? ☺️', '@stellajones 🔥']","['🤍🖤 I love it', 'Stunning', 'Hi there - do you have a customer service phone number? I ordered a gift card for Father’s Day that still hasn’t arrived', '🔥🔥🔥', 'How can I speak to someone about being refunded the wrong amount?', '❤️❤️', '🔥🔥🔥', '🔥🔥❤️❤️', 'When does summer sale begin? ☺️', ' 🔥']"
