post_id,post_date,post_caption,clean_caption,post_likes,comments,clean_comments,sentiment_analysis
3392384846727866468,2024-06-17 11:30:00,"Eid & summer dress💚🌝
فروعنا مفتوحه لاستقبالكم وكمان تقدروا تطلبوا اونلاين وتستفيدوا بخصم 10% باستخدام برومو كود M10 من خلال السايت
#mlameh #fashion #eid #summer",Eid & summer dress💚🌝 فروعنا مفتوحه لاستقبالكم وكمان تقدروا تطلبوا اونلاين وتستفيدوا بخصم % باستخدام برومو كود M من خلال السايت    ,227,"['Hm', 'تحفة❤️ HM', 'بكام', 'Hm', 'Hm', 'Hm', 'بكام', 'بكام والعنوان', 'Hm', 'Hm', 'Hm', 'Hm', 'Hm']","['Hm', 'تحفة❤️ HM', 'بكام', 'Hm', 'Hm', 'Hm', 'بكام', 'بكام والعنوان', 'Hm', 'Hm', 'Hm', 'Hm', 'Hm']","['neutral', 'positive', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
3390196709796866536,2024-06-14 11:02:42,"استعدى لأيامك الصيفية بافضل فستان يحققلك طلبك فى الحر لانه هيوفرلك الراحة والجمال💚✨

Shop summer dresses for every taste. through website &get 10% off by using promocode M10
Code :S5271

#mlameh #summer #modest #fashion #eid",استعدى لأيامك الصيفية بافضل فستان يحققلك طلبك فى الحر لانه هيوفرلك الراحة والجمال💚✨  Shop summer dresses for every taste. through website &get % off by using promocode M Code S      ,129,"['👏👏', '❤️', '❤️']","['👏👏', '❤️', '❤️']","['positive', 'positive', 'positive']"
3389652320906323444,2024-06-13 17:01:06,"Find the perfect summer dress to flatter your figure. From bohemian to classic style💎💙

Shop summer dresses for every taste. through website &get 10% off by using promocode M10

Code: S5254

#mlameh #summer #modest #fashion #eid",Find the perfect summer dress to flatter your figure. From bohemian to classic style💎💙  Shop summer dresses for every taste. through website &get % off by using promocode M  Code S      ,127,"['كم سعره', 'بكام لو سمحت', '❤️❤️❤️', 'بكم', 'بكام', 'السعر؟', 'Hm', 'H.m', 'بكم', 'ممكن التفاصيل', 'بكام', 'بكام']","['كم سعره', 'بكام لو سمحت', '❤️❤️❤️', 'بكم', 'بكام', 'السعر؟', 'Hm', 'H.m', 'بكم', 'ممكن التفاصيل', 'بكام', 'بكام']","['neutral', 'neutral', 'positive', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
3389470071064780018,2024-06-13 10:59:01,"حان وقت التسوق لعطلة الصيف 🛍 استمتعي بتجربة تسوق مختلفه  الآن بفرعنا ب (الدقي) واختاري ما يناسبكِ للسفر والمصايف وايضا مناسباتك القادمه 🪩

كما يمكنكِ الطلب اونلاين من خلال الويب سايت اللينك في البايو 
📍الدقي -٣٣ش محي الدين أبو العز 
#mlameh #fashion #madinaty #stores #hijab",حان وقت التسوق لعطلة الصيف 🛍 استمتعي بتجربة تسوق مختلفه  الآن بفرعنا ب (الدقي) واختاري ما يناسبكِ للسفر والمصايف وايضا مناسباتك القادمه 🪩  كما يمكنكِ الطلب اونلاين من خلال الويب سايت اللينك في البايو  📍الدقي -ش محي الدين أبو العز      ,140,"['بكام من فضلك', 'بكام', 'Hm', 'Hm', 'Hm', 'Hm', 'Hm', 'بكام والمقاسات ايه', 'بكام', 'بكام', '🔥🔥🔥👏👏👏😍😍😍']","['بكام من فضلك', 'بكام', 'Hm', 'Hm', 'Hm', 'Hm', 'Hm', 'بكام والمقاسات ايه', 'بكام', 'بكام', '🔥🔥🔥👏👏👏😍😍😍']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'positive']"
3388927075705584006,2024-06-12 17:00:00,"Don’t miss  your chance today to get Summer & Eid looks from our store ✨🛍️

📍Madinaty -All seasons park mall
#mlameh #fashion #store #mansoura #hijab #eid",Don’t miss  your chance today to get Summer & Eid looks from our store ✨🛍️  📍Madinaty -All seasons park mall      ,529,"['ممكن اعرف سعر الدريس', '❤️❤️', 'العنوان', 'سعر الدريس']","['ممكن اعرف سعر الدريس', '❤️❤️', 'العنوان', 'سعر الدريس']","['neutral', 'positive', 'neutral', 'neutral']"
3388208396479180092,2024-06-11 17:14:52,"Don’t miss  your chance today to get Summer & Eid looks from our store ✨🛍️

📍Madinaty -All seasons park mall
#mlameh #fashion #store #mansoura #hijab #eid",Don’t miss  your chance today to get Summer & Eid looks from our store ✨🛍️  📍Madinaty -All seasons park mall      ,718,"['بكام', 'السوت البيج ف اخضر بكام', 'الفستان الابيض بكام', 'السعر ايه', 'الفستان الابيض بكام', 'الدريس الاخضر بكام', '🔥🔥']","['بكام', 'السوت البيج ف اخضر بكام', 'الفستان الابيض بكام', 'السعر ايه', 'الفستان الابيض بكام', 'الدريس الاخضر بكام', '🔥🔥']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'positive']"
3387499183461319375,2024-06-10 17:43:12,"The best choice for you in Eid or Summer days easy and comfortable 🤎🤍

Which one is best? 
Available online and Stores 
#fashion #eid #hijab #shopping #modest #summer",The best choice for you in Eid or Summer days easy and comfortable 🤎🤍  Which one is best?  Available online and Stores       ,222,"['Hm', 'السعر كام', 'السعر كام', 'Hm', 'بكام', 'الموديل دا موجود في فرع الاسكندريه ؟', 'بكام', 'هل يوجد لون اسود', 'Hm', 'Hm', '😍']","['Hm', 'السعر كام', 'السعر كام', 'Hm', 'بكام', 'الموديل دا موجود في فرع الاسكندريه ؟', 'بكام', 'هل يوجد لون اسود', 'Hm', 'Hm', '😍']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'positive']"
3387301448879493587,2024-06-10 11:10:00,"خليك جاهزه لمناسبتك فى العيد باكتر من استايل مختلف من الفساتين الستان ✨🌙

تقدرى تطلبي من خلال الويب سايت وتحصلى على خصم ١٠٪؜ عند استخدامك بروموكود “ M10”
Mlameh.com
او تزورينا فى اقرب فرع ليك وتجربي اللى يليق بك ِ
📍Madinaty -All seasons park mall
#fashion #eid #hijab #shopping #modest #summer",خليك جاهزه لمناسبتك فى العيد باكتر من استايل مختلف من الفساتين الستان ✨🌙  تقدرى تطلبي من خلال الويب سايت وتحصلى على خصم ٪؜ عند استخدامك بروموكود “ M” Mlameh.com او تزورينا فى اقرب فرع ليك وتجربي اللى يليق بك ِ 📍Madinaty -All seasons park mall      ,663,"['ايه الجمال ده', 'السعر والالوان', 'بكام', 'Hm', '❤️❤️❤️❤️😘😘', 'Hm', 'Hm', 'الله اكبر عليك كلهم تحفة', 'ياخراشي ع السكر ❤️❤️❤️❤️❤️', 'بكام من فضلك', 'تحفة التايجر', 'في منه بنفسجي', 'بكام', 'في منه موڤات', 'Hm', 'بكام', 'H.m', 'بكام', 'hm?']","['ايه الجمال ده', 'السعر والالوان', 'بكام', 'Hm', '❤️❤️❤️❤️😘😘', 'Hm', 'Hm', 'الله اكبر عليك كلهم تحفة', 'ياخراشي ع السكر ❤️❤️❤️❤️❤️', 'بكام من فضلك', 'تحفة التايجر', 'في منه بنفسجي', 'بكام', 'في منه موڤات', 'Hm', 'بكام', 'H.m', 'بكام', 'hm?']","['positive', 'neutral', 'neutral', 'neutral', 'positive', 'neutral', 'neutral', 'positive', 'positive', 'neutral', 'positive', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
3386782682228931083,2024-06-09 18:08:08,"What you can wear for Eid @mlameh_fashion_official 
Leave a comment with your Fav Fit",What you can wear for Eid   Leave a comment with your Fav Fit,-1,"['سعر البنطلون', 'البنطلون الجينز الكارجو بكام', 'Location please?', 'ممكن العنوان', 'الفيست والبنطلون البيج', 'كل الاوت فيت تحفه وانتى اجمل❤️❤️❤️❤️', 'احلى حبيبه في مصر كلها🔥❤️', 'كلهم حلوين اوي اوي 😍😍', '💙💙💙', 'Ahla wahda ❤️😍', '🔥🔥🔥🔥🔥', 'كلهم حلوين عشان انتي الي محلياهم 🔥❤️ما شاء لله', 'كل حاجة حلوة ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️', '💕💕💕💕🌷', 'عسوله وزي القمر بجد ❤️', '❤️❤️❤️', 'الشميز في تاني outfit بكام ؟', 'جميله جدا يابوبا ياقمر ربنا يوفقك ❤️❤️', 'سعر الجاكيت الجينز', '😍😍😍']","['سعر البنطلون', 'البنطلون الجينز الكارجو بكام', 'Location please?', 'ممكن العنوان', 'الفيست والبنطلون البيج', 'كل الاوت فيت تحفه وانتى اجمل❤️❤️❤️❤️', 'احلى حبيبه في مصر كلها🔥❤️', 'كلهم حلوين اوي اوي 😍😍', '💙💙💙', 'Ahla wahda ❤️😍', '🔥🔥🔥🔥🔥', 'كلهم حلوين عشان انتي الي محلياهم 🔥❤️ما شاء لله', 'كل حاجة حلوة ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️', '💕💕💕💕🌷', 'عسوله وزي القمر بجد ❤️', '❤️❤️❤️', 'الشميز في تاني outfit بكام ؟', 'جميله جدا يابوبا ياقمر ربنا يوفقك ❤️❤️', 'سعر الجاكيت الجينز', '😍😍😍']","['neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'neutral', 'positive', 'neutral', 'positive']"
3386072652327205677,2024-06-08 18:30:56,"Eid with @mlameh_fashion_official 😍😍😍
حبيت اعمل اكتر من look بقطعه ملابس واحده 
😍😍 
Set 
 دي جوكر بجد تقدروا تلبسو معاها مليون قطعه 😍😍😍
حبيتو اي واحد اكتر ؟",Eid with  😍😍😍 حبيت اعمل اكتر من look بقطعه ملابس واحده  😍😍  Set   دي جوكر بجد تقدروا تلبسو معاها مليون قطعه 😍😍😍 حبيتو اي واحد اكتر ؟,6233,"['منين الطقم', 'لما نزلتى فكرتينى بالفيلم بتاع عودى يا هاميس😂😂 لما كانت بتنزل كدة والطقم التانى حبيته اوووى اللهم بارك 😍', 'لا سُكر مش قادرة ❤️😂', 'مش عارفه يا اسراء الحاجات بتبقي تحفه بجد ماشاءالله الله اكبر عليكي بس بجد بحس ان هو لو جبت حاجه منهم لا مش هتبقي حلوة عليا بالشكل ده او انا اقصر او ارفع او اتخن فا لا مش هتبقي تمام😢', 'التصوير حلو اوي والفكره تجنن 😍😍😍', 'شكلك كيوت وعسل حالص❤️', 'بتحلى كل حاجة والله ❤️❤️❤️', 'استايلات ملوكي بجد ❤️❤️❤️', 'الله الله تحفة اوى اوى ❤️❤️❤️', 'سكر سكر ناعم 🤍🤍🤍🤍🤍🤍🤍😂', 'خطيرة ي سو ❤️❤️❤️❤️❤️❤️❤️', 'مش بعرف اتخيل الاطقم دى غير عليكى حقيقى وان احنا لما نلبسها هنبقى عبط اوى 😂😂❤️', '😍😍😍😍😍😍', 'لذيذة بجد 😍❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️', '@rahma_hussein_m @norhan_montaser_ 🥺', '❤️❤️❤️❤️', '❤️❤️❤️❤️', '@hana.ashrf66', '@hana.ashrf66', '@om.ziad202', '@so3ad_mhh @amina_ashrf1', '@om.ahmed1807', '@om.ziad202', '@om.ahmed1807', 'نفسي اكسب معاكي مرة']","['منين الطقم', 'لما نزلتى فكرتينى بالفيلم بتاع عودى يا هاميس😂😂 لما كانت بتنزل كدة والطقم التانى حبيته اوووى اللهم بارك 😍', 'لا سُكر مش قادرة ❤️😂', 'مش عارفه يا اسراء الحاجات بتبقي تحفه بجد ماشاءالله الله اكبر عليكي بس بجد بحس ان هو لو جبت حاجه منهم لا مش هتبقي حلوة عليا بالشكل ده او انا اقصر او ارفع او اتخن فا لا مش هتبقي تمام😢', 'التصوير حلو اوي والفكره تجنن 😍😍😍', 'شكلك كيوت وعسل حالص❤️', 'بتحلى كل حاجة والله ❤️❤️❤️', 'استايلات ملوكي بجد ❤️❤️❤️', 'الله الله تحفة اوى اوى ❤️❤️❤️', 'سكر سكر ناعم 🤍🤍🤍🤍🤍🤍🤍😂', 'خطيرة ي سو ❤️❤️❤️❤️❤️❤️❤️', 'مش بعرف اتخيل الاطقم دى غير عليكى حقيقى وان احنا لما نلبسها هنبقى عبط اوى 😂😂❤️', '😍😍😍😍😍😍', 'لذيذة بجد 😍❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️', '  🥺', '❤️❤️❤️❤️', '❤️❤️❤️❤️', '.ashrf', '.ashrf', '.ziad', ' ', '.ahmed', '.ziad', '.ahmed', 'نفسي اكسب معاكي مرة']","['neutral', 'positive', 'positive', 'negative', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'neutral', 'positive', 'positive', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral', 'neutral']"
