post_id,post_date,post_caption,clean_caption,post_likes,comments,clean_comments,sentiment_analysis
3401289798020990888,2024-06-29 18:23:01,"matching tones in company🤝🏼💓

#stradivarius #stradilooks",matching tones in company🤝🏼💓   ,1506,"['😍', 'Divino todo!!! Y la modelo!!!! Muy bella', 'Estaría genial que pusieron también modelos de talla 40/42☺️', 'Amazing 😍', '😍']","['😍', 'Divino todo!!! Y la modelo!!!! Muy bella', 'Estaría genial que pusieron también modelos de talla /☺️', 'Amazing 😍', '😍']","['positive', 'positive', 'neutral', 'positive', 'positive']"
3400327920499274826,2024-06-28 10:31:37,"3 ways to dress the summer🎀🌞🫧

#stradivarius #stradilooks", ways to dress the summer🎀🌞🫧   ,2931,"['🤍👍', '👢👢 ❤️❤️❤️', '👏', '❤️❤️❤️❤️', 'نایس 😍', 'Müşterinizim, geçen gün pantolon aldım 30 derecede yıkadım bir beden küçüldü mağazanıza götürdüm ne değişim ne iade hiçbirşey yapılmadı !!!birdaha mağazanıza girmem..!!!', 'מה האינסטגרם של הדוגמנית?', 'Skirt code?', 'Tenga mucho cuidado al pedir algo aquí he hecho un pedido que tendría que llegarme ya hace más de cinco días no me llega el pedido no contestan y cuanto contetaron me están dando todos largas o sea que ojo que están muy listos']","['🤍👍', '👢👢 ❤️❤️❤️', '👏', '❤️❤️❤️❤️', 'نایس 😍', 'Müşterinizim, geçen gün pantolon aldım  derecede yıkadım bir beden küçüldü mağazanıza götürdüm ne değişim ne iade hiçbirşey yapılmadı !!!birdaha mağazanıza girmem..!!!', 'מה האינסטגרם של הדוגמנית?', 'Skirt code?', 'Tenga mucho cuidado al pedir algo aquí he hecho un pedido que tendría que llegarme ya hace más de cinco días no me llega el pedido no contestan y cuanto contetaron me están dando todos largas o sea que ojo que están muy listos']","['positive', 'positive', 'positive', 'positive', 'positive', 'negative', 'neutral', 'neutral', 'negative']"
3399830851082626149,2024-06-27 18:04:02,"my roman empire is how well these shoes fit💐🤝🏼

#stradivarius #stradilooks",my roman empire is how well these shoes fit💐🤝🏼   ,2567,"['Неч пул екан 40размер борми', '😍😍😍😍😍', '😍😍😍', '😍😍😍', 'Türkiye onlinede tükenmiş üzgünüm alamadım stoğa gelmesini bekliyorum\U0001faf6🤍👌', '😍', 'Horrible las compras por app de anoche 😡 mejor dicho no pude comprar nada que rabia 😡😭', 'Seguro que irás al baño después de verlo🔥🔥']","['Неч пул екан размер борми', '😍😍😍😍😍', '😍😍😍', '😍😍😍', 'Türkiye onlinede tükenmiş üzgünüm alamadım stoğa gelmesini bekliyorum\U0001faf6🤍👌', '😍', 'Horrible las compras por app de anoche 😡 mejor dicho no pude comprar nada que rabia 😡😭', 'Seguro que irás al baño después de verlo🔥🔥']","['neutral', 'positive', 'positive', 'positive', 'negative', 'positive', 'negative', 'positive']"
3399036926310885196,2024-06-26 15:47:19,"top on point💓🤝🏼

#stradivarius #stradilooks",top on point💓🤝🏼   ,7834,"['Me gustaría poner una queja con las aplicaciones de Stradivarius y Bershka ya que realice unas comprar en línea, me descontaron el dinero y al minuto me cancelaron mi pedido pero mientras tienen invertido mi dinero en lo que hacen mi reembolso', 'No deja comprar, me aparece error cada vez que lo intento', '❤️', 'Preciosa', 'Pésimo servicio al cliente según ustedes respondieron mi mensaje de Facebook lo cual no es cierto!!!', '🎀✨🧚', '😍😍😍😍', 'Felicitaciones valeen!!', '😍😍🙌🙌', '❤️❤️❤️', '😍😍', 'Hermosa producción. Hermosa modelo!!!!', '😍😍😍😍😍', '❤️❤️', 'KE!!??? Amando todos los looks 🤍 la modelo más lindaaaaa', 'Un angelllll 🤍', 'Can someone please reply to my DMs? I made an order more than 3 weeks ago, it has not been sent, honestly it feels like a scam at this point.', '🔥🔥🔥', '❤️', 'Hermosa la ropa, pero la modelo… keee?', 'De qué sirve rebajar una prenda de un conjunto si luego la otra va a seguir con el mismo precio? Dolió 😭', 'Podran ser tan lindas? @tanapizzarulli 😍🤞🏻', 'Wowwww 😍 @tanapizzarulli', 'ES REAL? 😍😍😍😍😍 por favorrrrrrr @tanapizzarulli', 'Una princesa @tanapizzarulli 😍\U0001fa77', 'Aaaaa la más guapa!!!! @tanapizzarulli', 'Que hermosaaa 😍🔥🧡@tanapizzarulli']","['Me gustaría poner una queja con las aplicaciones de Stradivarius y Bershka ya que realice unas comprar en línea, me descontaron el dinero y al minuto me cancelaron mi pedido pero mientras tienen invertido mi dinero en lo que hacen mi reembolso', 'No deja comprar, me aparece error cada vez que lo intento', '❤️', 'Preciosa', 'Pésimo servicio al cliente según ustedes respondieron mi mensaje de Facebook lo cual no es cierto!!!', '🎀✨🧚', '😍😍😍😍', 'Felicitaciones valeen!!', '😍😍🙌🙌', '❤️❤️❤️', '😍😍', 'Hermosa producción. Hermosa modelo!!!!', '😍😍😍😍😍', '❤️❤️', 'KE!!??? Amando todos los looks 🤍 la modelo más lindaaaaa', 'Un angelllll 🤍', 'Can someone please reply to my DMs? I made an order more than  weeks ago, it has not been sent, honestly it feels like a scam at this point.', '🔥🔥🔥', '❤️', 'Hermosa la ropa, pero la modelo… keee?', 'De qué sirve rebajar una prenda de un conjunto si luego la otra va a seguir con el mismo precio? Dolió 😭', 'Podran ser tan lindas?  😍🤞🏻', 'Wo 😍 ', 'ES REAL? 😍😍😍😍😍 por favorrrrrrr ', 'Una princesa  😍\U0001fa77', 'Aaaaa la más guapa!!!! ', 'Que hermosaaa 😍🔥🧡']","['negative', 'negative', 'positive', 'positive', 'negative', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'negative', 'positive', 'positive', 'neutral', 'negative', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive']"
3398313003264884025,2024-06-25 15:48:20,"breezy fabrics are everything🧺

#stradivarius #stradilooks",breezy fabrics are everything🧺   ,4638,"['Que costo tienen', 'Porque quitaron en la app la visualización de disponibilidad de los artículos en tienda?!', '❤️❤️', '😍😍', '❤️❤️', '😍عالی 😍', '😍😍😍', 'Is this ai?', 'قشنگه😍😍', '😍😍😍😍😍🔥🔥🔥🔥🔥', '😍😍😍😍', 'Olanları giy', 'The first look is my jam 😍', 'Lindos outfits 😍']","['Que costo tienen', 'Porque quitaron en la app la visualización de disponibilidad de los artículos en tienda?!', '❤️❤️', '😍😍', '❤️❤️', '😍عالی 😍', '😍😍😍', 'Is this ai?', 'قشنگه😍😍', '😍😍😍😍😍🔥🔥🔥🔥🔥', '😍😍😍😍', 'Olanları giy', 'The first look is my jam 😍', 'Lindos outfits 😍']","['neutral', 'negative', 'positive', 'positive', 'positive', 'positive', 'positive', 'neutral', 'positive', 'positive', 'positive', 'neutral', 'positive', 'positive']"
3397594761227581894,2024-06-24 16:01:19,"making jorts fashionable by the hand of @francescaleslie_ 🧢

#stradilooks #strteen",making jorts fashionable by the hand of  🧢   ,3515,"['❤️❤️❤️', 'قشنگ بووود😍😍😍', 'Beautiful 😍', '❤️❤️', '❤️', '❤️❤️❤️', '❤️❤️❤️', ""I have problem with jeans. I washed them and yellow spots appeared on the jeans. This is problem with two jeans from Stradivarius. I don't know what's happened."", 'Buenas tardes, realice mi pedido No. 50223441609 con fecha de entrega 26 de junio de 2024. Pese a ello aùn no he recibido actualizacion sobre la empresa de envio. Por favor me pueden colaborar ya que siempre han sido muy puntuales y respetuosos con las fechas de entrega. GRACIAS!', 'Collab👌🏿', '@marlarosejansen kijk dm 😊']","['❤️❤️❤️', 'قشنگ بووود😍😍😍', 'Beautiful 😍', '❤️❤️', '❤️', '❤️❤️❤️', '❤️❤️❤️', 'I have problem with jeans. I washed them and yellow spots appeared on the jeans. This is problem with two jeans from Stradivarius. I dont know whats happened.', 'Buenas tardes, realice mi pedido No.  con fecha de entrega  de junio de . Pese a ello aùn no he recibido actualizacion sobre la empresa de envio. Por favor me pueden colaborar ya que siempre han sido muy puntuales y respetuosos con las fechas de entrega. GRACIAS!', 'Collab👌🏿', ' kijk dm 😊']","['positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'positive', 'negative', 'negative', 'neutral', 'neutral']"
3396865229440767472,2024-06-23 15:58:49,"moments with myself choosing next fits🤳🏼 

#stradivarius #stradilooks",moments with myself choosing next fits🤳🏼    ,3552,"['Очень по-летнему🔥', 'Cuando comienza las rebajas??', '🔥🙌❤️', 'نایس😍😋', '❤️❤️', 'Cada look mais perfeito 👏', 'Realice una compra en línea hoy 25 y no me respetaron la rebaja . Soy de México .', '😍', '❤️❤️❤️', '🤍🤍', 'Collab👌🏿', 'Lo único las botas para el verano no las veo😢', 'Buenas tardes, realice mi pedido No. 50223441609 con fecha de entrega 26 de junio de 2024. Pese a ello aùn no he recibido actualizacion sobre la empresa de envio. Por favor me pueden colaborar ya que siempre han sido muy puntuales y respetuosos con las fechas de entrega. GRACIAS!', 'Seguro que irás al baño después de verlo🔥🔥']","['Очень по-летнему🔥', 'Cuando comienza las rebajas??', '🔥🙌❤️', 'نایس😍😋', '❤️❤️', 'Cada look mais perfeito 👏', 'Realice una compra en línea hoy  y no me respetaron la rebaja . Soy de México .', '😍', '❤️❤️❤️', '🤍🤍', 'Collab👌🏿', 'Lo único las botas para el verano no las veo😢', 'Buenas tardes, realice mi pedido No.  con fecha de entrega  de junio de . Pese a ello aùn no he recibido actualizacion sobre la empresa de envio. Por favor me pueden colaborar ya que siempre han sido muy puntuales y respetuosos con las fechas de entrega. GRACIAS!', 'Seguro que irás al baño después de verlo🔥🔥']","['positive', 'neutral', 'positive', 'positive', 'positive', 'positive', 'negative', 'positive', 'positive', 'positive', 'neutral', 'negative', 'negative', 'positive']"
3396234840556818886,2024-06-22 19:07:50,"one of our fav weekend plans w/ @allisguijarro ☕💓

#stradivarius #stradilooks",one of our fav weekend plans w/  ☕💓   ,5117,"['Todo lo hacen para mujeres con poco busto, una pena.', 'Stradivarius, my love brand ❤️ too bad I can’t find it here in Canada 😢', 'Monísima, pero me gustaría verla con esas botas en el verano de Málaga, jéh 🙃', 'Que feo, botas en verano, ridículo, no se miró al espejo antes 😮😂😂😂', 'Se vistió a oscuras 😢', 'En verano outfit con botas y en invierno con sandalias.... venga va!', 'Bonito pero se le van a cocer los pies 😂', '😍😍😍😍', 'Cuando ponen tienda en Chile ?', '❤️❤️', 'Love it']","['Todo lo hacen para mujeres con poco busto, una pena.', 'Stradivarius, my love brand ❤️ too bad I can’t find it here in Canada 😢', 'Monísima, pero me gustaría verla con esas botas en el verano de Málaga, jéh 🙃', 'Que feo, botas en verano, ridículo, no se miró al espejo antes 😮😂😂😂', 'Se vistió a oscuras 😢', 'En verano outfit con botas y en invierno con sandalias.... venga va!', 'Bonito pero se le van a cocer los pies 😂', '😍😍😍😍', 'Cuando ponen tienda en Chile ?', '❤️❤️', 'Love it']","['negative', 'positive', 'neutral', 'negative', 'negative', 'negative', 'neutral', 'positive', 'neutral', 'positive', 'positive']"
3395459932969231293,2024-06-21 17:19:48,"lisbon, ibiza or mykonos ⛱️ which one do you choose?

#stradivarius #stradilooks","lisbon, ibiza or mykonos ⛱️ which one do you choose?   ",6039,"['Mykonoooos🔥🔥🔥', 'Bij Lisaboa is dat een mouwloos kabeltruitje onder die oortjes?', 'Amé esa falda\U0001fa77', 'Todossssss', 'Me encantó 🤍', 'All of them!!!❤️❤️❤️🙌🙌🙌', '😂😍😢', 'Lisboa', 'Never return anything in store to them… it doesn’t register on the ‘online receipt’ and you never get your money back \U0001fae0🙃', 'Más de 10 esperando una compra. A la final como que se robaron🤮', 'lisboa ❤️🇵🇹', 'Falto el plug es tendencia 🙌', 'Mykonoooos']","['Mykonoooos🔥🔥🔥', 'Bij Lisaboa is dat een mouwloos kabeltruitje onder die oortjes?', 'Amé esa falda\U0001fa77', 'Todossssss', 'Me encantó 🤍', 'All of them!!!❤️❤️❤️🙌🙌🙌', '😂😍😢', 'Lisboa', 'Never return anything in store to them… it doesn’t register on the ‘online receipt’ and you never get your money back \U0001fae0🙃', 'Más de  esperando una compra. A la final como que se robaron🤮', 'lisboa ❤️🇵🇹', 'Falto el plug es tendencia 🙌', 'Mykonoooos']","['positive', 'neutral', 'positive', 'neutral', 'positive', 'positive', 'neutral', 'neutral', 'negative', 'negative', 'positive', 'neutral', 'positive']"
3394694494039495975,2024-06-20 15:59:00,"the summer glow garments you’re looking for💓

#stradivarius #stradilooks",the summer glow garments you’re looking for💓   ,2549,"['Para cuando Stradivarius volverá a sacar la colección de papelería?, sus planning, agendas  y estuches eran maravillosos. Les echamos de menos.', 'Never return anything in store to them.. it doesn’t register on the ‘online account’ and you never get your money back ….\U0001fae0🙃', 'Botas en verano ? En Andalucia.... Si quieres que se te desintegren los pies adelante...pero no lo veo con 45 grados que podemos llegar en el sur', 'Some. Girl peed ur pants', '@stradivarius my shoes are setting off theft alarms literally everywhere so I don’t think the tag was properly disabled, I bought them in the Oxford street store yesterday and still have the receipt — how do I get the tag disabled?']","['Para cuando Stradivarius volverá a sacar la colección de papelería?, sus planning, agendas  y estuches eran maravillosos. Les echamos de menos.', 'Never return anything in store to them.. it doesn’t register on the ‘online account’ and you never get your money back ….\U0001fae0🙃', 'Botas en verano ? En Andalucia.... Si quieres que se te desintegren los pies adelante...pero no lo veo con  grados que podemos llegar en el sur', 'Some. Girl peed ur pants', ' my shoes are setting off theft alarms literally everywhere so I don’t think the tag was properly disabled, I bought them in the Oxford street store yesterday and still have the receipt — how do I get the tag disabled?']","['positive', 'negative', 'negative', 'neutral', 'negative']"
